,,DEPARTMENT OF NATURAL RESOURCES,,,,,,,,,,
,,Timber Harvest Summary —   All Ownerships,,,,,,,,,,
,,1969,,,,,,,,,,
,,,,,,,,,,,,
,,"( Thousand board feet, Scribner rule )",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
REGIONS,,,,,OWNER,CLASSES,,,,,TOTAL,
AND,Native,Forest,Private,Private,Total,,Other,National,Other,Total,ALL,
COUNTIES,American,Industry,Large,Small,Private,State,Non-federal,Forest,Federal,Public,OWNERSHIPS,
,,,,,,,,,,,,
EASTERN  WASHINGTON,,,,,,,,,,,,
ASOTIN,0,0,"2,536","5,442","7,978",691,0,303,0,994,"8,972",
BENTON,0,0,0,0,0,0,0,0,0,0,0,
CHELAN,0,"17,341",0,"3,401","20,742","1,217",0,"70,402",0,"71,619","92,361",
COLUMBIA,0,0,320,"1,840","2,160",0,0,"15,369",0,"15,369","17,529",
DOUGLAS,0,0,0,0,0,0,0,0,0,0,0,
FERRY,"75,336","11,010",377,"7,221","93,944","2,274",360,"39,831",164,"42,629","136,573",
GARFIELD,0,0,0,452,452,0,0,"14,328",0,"14,328","14,780",
KITTITAS,0,"17,300","28,329","1,879","47,508","14,957",102,"28,750",0,"43,809","91,317",
KLICKITAT,0,"49,832","2,271","7,104","59,207","16,896",0,"3,768",0,"20,664","79,871",
LINCOLN,0,0,"1,644","2,626","4,270",869,0,0,0,869,"5,139",
OKANOGAN,"18,250","2,750","6,536","7,148","34,684","28,241",0,"103,890",874,"133,005","167,689",
PEND ORIELLE,515,"9,240",440,"12,040","22,235","6,573",70,"61,941",6,"68,590","90,825",
SPOKANE,0,588,"5,176","10,630","16,394",145,0,0,219,364,"16,758",
STEVENS,"12,795","30,693","2,040","12,076","57,604","14,874",0,"16,742","5,514","37,130","94,734",
WALLA WALLA,0,0,0,837,837,0,0,0,0,0,837,
WHITMAN,0,0,100,0,100,0,0,0,0,0,100,
YAKIMA,"139,736","14,124","1,740",0,"155,600","23,548",423,"71,085",0,"95,056","250,656",
,,,,,,,,,,,,
,,,,,,,,,,,,
EASTSIDE TOTALS,"246,632","152,878","51,509","72,696","523,715","110,285",955,"426,409","6,777","544,426","1,068,141",
,,,,,,,,,,,,
,,,,,,,,,,,,
WESTERN  WASHINGTON,,,,,,,,,,,,
CLALLAM,"5,387","148,375","19,523","19,903","193,188","87,356",52,"77,045",907,"165,360","358,548",
CLARK,0,"24,031",0,"14,435","38,466","15,219",0,0,72,"15,291","53,757",
COWLITZ,0,"399,768","9,594","22,396","431,758","85,466",0,"10,310","3,499","99,275","531,033",
GRAYS HARBOR,"168,492","312,607","41,953","82,372","605,424","15,223","28,431","60,201",0,"103,855","709,279",
ISLAND,0,"5,402",79,"8,172","13,653",666,70,0,0,736,"14,389",
JEFFERSON,0,"123,045","50,349","10,118","183,512","198,328","1,213","34,965",0,"234,506","418,018",
KING,0,"276,097","49,163","18,051","343,311","3,197","12,901","54,933",0,"71,031","414,342",
KITSAP,0,"2,978","3,599","12,922","19,499","2,588",534,0,"1,367","4,489","23,988",
LEWIS,0,"485,026","19,652","38,971","543,649","44,353",0,"211,251",30,"255,634","799,283",
MASON,0,"40,418","15,107","19,645","75,170","15,215","2,334","76,100",0,"93,649","168,819",
PACIFIC,0,"501,812","3,433","14,868","520,113","19,132",0,0,8,"19,140","539,253",
PIERCE,0,"257,443","16,019","41,314","314,776","13,368",340,"66,553","16,147","96,408","411,184",
SAN JUAN,0,0,0,"1,857","1,857",0,18,0,0,18,"1,875",
SKAGIT,0,"196,915","8,931","15,561","221,407","34,375","1,999","45,927",0,"82,301","303,708",
SKAMANIA,0,"47,293","42,016","3,617","92,926","17,026",0,"308,996",0,"326,022","418,948",
SNOHOMISH,0,"135,208","13,652","87,617","236,477","35,019","1,340","117,674",200,"154,233","390,710",
THURSTON,0,"68,686","10,635","26,106","105,427","12,729",0,0,136,"12,865","118,292",
WAHKIAKUM,0,"91,286",0,"9,353","100,639","15,255","3,200",0,0,"18,455","119,094",
WHATCOM,0,"60,100","5,006","20,749","85,855","19,665",0,"28,320","7,316","55,301","141,156",
,,,,,,,,,,,,
WESTSIDE TOTALS,"173,879","3,176,490","308,711","468,027","4,127,107","634,180","52,432","1,092,275","29,682","1,808,569","5,935,676",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
STATEWIDE TOTALS,"420,511","3,329,368","360,220","540,723","4,650,822","744,465","53,387","1,518,684","36,459","2,352,995","7,003,817",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
