,,DEPARTMENT OF NATURAL RESOURCES,,,,,,,,,,
,,Timber Harvest Summary —   All Ownerships,,,,,,,,,,
,,1988,,,,,,,,,,
,,,,,,,,,,,,
,,"( Thousand board feet, Scribner rule )",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
REGIONS,,,,,OWNER,CLASSES,,,,,TOTAL,
AND,Native,Forest,Private,Private,Total,,Other,National,Other,Total,ALL,
COUNTIES,American,Industry,Large,Small,Private,State,Non-federal,Forest,Federal,Public,OWNERSHIPS,
,,,,,,,,,,,,
EASTERN  WASHINGTON,,,,,,,,,,,,
ASOTIN,0,0,547,"3,202","3,749","1,272",0,"1,498",0,"2,770","6,519",
BENTON,0,0,0,0,0,0,0,0,0,0,0,
CHELAN,0,"1,454",352,"2,301","4,107",781,0,"83,190",0,"83,971","88,078",
COLUMBIA,0,0,"3,600","2,388","5,988",423,0,"3,722",0,"4,145","10,133",
DOUGLAS,0,0,0,0,0,0,0,0,0,0,0,
FERRY,"54,280","37,041","2,738","9,817","103,876","1,624",0,"38,384",0,"40,008","143,884",
GARFIELD,0,590,0,"2,537","3,127",0,0,"2,006",0,"2,006","5,133",
KITTITAS,0,"130,369",465,"7,868","138,702","5,066",0,"42,199",0,"47,265","185,967",
KLICKITAT,"20,247","59,664",215,"11,965","92,091","28,716",0,"6,936",0,"35,652","127,743",
LINCOLN,0,0,0,"1,845","1,845",0,0,0,0,0,"1,845",
OKANOGAN,"30,782","19,939",921,"3,829","55,471","18,714",0,"131,605",0,"150,319","205,790",
PEND ORIELLE,0,"61,478","1,993","10,952","74,423","6,150","4,317","46,295",0,"56,762","131,185",
SPOKANE,0,62,"6,869","21,030","27,961","2,344","1,256",0,0,"3,600","31,561",
STEVENS,0,"35,073","19,629","56,222","110,924","21,277",0,"36,555",0,"57,832","168,756",
WALLA WALLA,0,0,0,"1,555","1,555",0,0,0,0,0,"1,555",
WHITMAN,0,0,0,600,600,0,0,0,0,0,600,
YAKIMA,"105,259","18,693",0,350,"124,302","29,617",0,"33,890",0,"63,507","187,809",
,,,,,,,,,,,,
,,,,,,,,,,,,
EASTSIDE TOTALS,"210,568","364,363","37,329","136,461","748,721","115,984","5,573","426,280",0,"547,837","1,296,558",
,,,,,,,,,,,,
,,,,,,,,,,,,
WESTERN  WASHINGTON,,,,,,,,,,,,
CLALLAM,"9,924","138,225","65,816","38,573","252,538","46,043",2,"79,878",0,"125,923","378,461",
CLARK,0,"52,504","5,220","29,752","87,476","18,964",0,0,75,"19,039","106,515",
COWLITZ,0,"359,701","8,090","42,672","410,463","51,453","1,953","12,257",0,"65,663","476,126",
GRAYS HARBOR,"42,000","529,671","211,811","53,405","836,887","33,637","27,775","83,332",0,"144,744","981,631",
ISLAND,0,0,"21,293","9,996","31,289","1,604",0,0,60,"1,664","32,953",
JEFFERSON,0,"133,898","48,243","11,862","194,003","169,776",0,"68,957",934,"239,667","433,670",
KING,12,"204,792","4,062","16,549","225,415","14,351",0,"89,812",0,"104,163","329,578",
KITSAP,884,"9,588","26,975","9,916","47,363","2,576","2,522",0,"1,087","6,185","53,548",
LEWIS,0,"278,684","166,708","123,754","569,146","49,157",0,"195,337",0,"244,494","813,640",
MASON,0,"169,411","33,076","29,575","232,062","6,580",0,"42,588",0,"49,168","281,230",
PACIFIC,0,"217,643","11,808","51,396","280,847","38,399",0,0,"2,545","40,944","321,791",
PIERCE,0,"119,333","26,194","35,317","180,844","18,852",0,"26,931","11,000","56,783","237,627",
SAN JUAN,0,0,0,"4,753","4,753",0,0,0,0,0,"4,753",
SKAGIT,605,"72,705","34,070","26,527","133,907","71,329",0,"35,220",0,"106,549","240,456",
SKAMANIA,0,"10,818","28,903","4,247","43,968","20,542",139,"328,021",0,"348,702","392,670",
SNOHOMISH,"4,980","78,947","31,474","42,406","157,807","68,787",0,"60,600",75,"129,462","287,269",
THURSTON,496,"65,449","18,614","32,460","117,019","49,101",0,0,"2,000","51,101","168,120",
WAHKIAKUM,0,"41,722",937,"23,502","66,161","19,837",844,0,0,"20,681","86,842",
WHATCOM,"1,377","16,581","25,836","12,285","56,079","29,461",0,"36,394",0,"65,855","121,934",
,,,,,,,,,,,,
WESTSIDE TOTALS,"60,278","2,499,672","769,130","598,947","3,928,027","710,449","33,235","1,059,327","17,776","1,820,787","5,748,814",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
STATEWIDE TOTALS,"270,846","2,864,035","806,459","735,408","4,676,748","826,433","38,808","1,485,607","17,776","2,368,624","7,045,372",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
