,,DEPARTMENT OF NATURAL RESOURCES,,,,,,,,,,
,,Timber Harvest Summary —   All Ownerships,,,,,,,,,,
,,1986,,,,,,,,,,
,,,,,,,,,,,,
,,"( Thousand board feet, Scribner rule )",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
REGIONS,,,,,OWNER,CLASSES,,,,,TOTAL,
AND,Native,Forest,Private,Private,Total,,Other,National,Other,Total,ALL,
COUNTIES,American,Industry,Large,Small,Private,State,Non-federal,Forest,Federal,Public,OWNERSHIPS,
,,,,,,,,,,,,
EASTERN  WASHINGTON,,,,,,,,,,,,
ASOTIN,0,0,750,180,930,0,0,"7,817",0,"7,817","8,747",
BENTON,0,0,0,0,0,0,0,0,0,0,0,
CHELAN,0,"10,778",794,"1,081","12,653","3,033",0,"76,197",0,"79,230","91,883",
COLUMBIA,0,0,0,"3,709","3,709",0,47,"8,672",0,"8,719","12,428",
DOUGLAS,0,0,0,0,0,0,0,0,0,0,0,
FERRY,"30,198","27,611","10,226","8,734","76,769","1,153",0,"24,759",0,"25,912","102,681",
GARFIELD,0,0,0,100,100,0,0,0,0,0,100,
KITTITAS,0,"139,837",8,"1,758","141,603","9,161",2,"97,134",0,"106,297","247,900",
KLICKITAT,"9,101","51,501","1,466","6,528","68,596","24,496",364,"7,865",0,"32,725","101,321",
LINCOLN,0,490,0,"3,260","3,750",0,0,0,0,0,"3,750",
OKANOGAN,"35,205","1,224","12,198","12,216","60,843","21,504",0,"77,983","1,539","101,026","161,869",
PEND ORIELLE,0,"70,763","2,797","9,013","82,573","4,010",491,"28,579",0,"33,080","115,653",
SPOKANE,0,"4,203","5,832","22,243","32,278",549,775,0,0,"1,324","33,602",
STEVENS,"1,123","27,480","13,995","51,868","94,466","16,473","1,318","20,020",0,"37,811","132,277",
WALLA WALLA,0,0,0,"2,444","2,444",27,0,0,0,27,"2,471",
WHITMAN,0,0,0,519,519,0,0,0,0,0,519,
YAKIMA,"92,614","43,313",496,981,"137,404","24,032",0,"47,525",0,"71,557","208,961",
,,,,,,,,,,,,
,,,,,,,,,,,,
EASTSIDE TOTALS,"168,241","377,200","48,562","124,634","718,637","104,438","2,997","396,551","1,539","505,525","1,224,162",
,,,,,,,,,,,,
,,,,,,,,,,,,
WESTERN  WASHINGTON,,,,,,,,,,,,
CLALLAM,"13,255","95,881","57,263","33,586","199,985","105,090",0,"140,253",0,"245,343","445,328",
CLARK,0,"35,997","6,159","16,719","58,875","14,629","1,164",0,0,"15,793","74,668",
COWLITZ,0,"324,192","7,103","31,036","362,331","56,356","1,263","1,050",0,"58,669","421,000",
GRAYS HARBOR,"48,355","428,511","84,926","15,464","577,256","45,447","5,865","38,846",0,"90,158","667,414",
ISLAND,0,902,"2,418","4,356","7,676",225,0,0,457,682,"8,358",
JEFFERSON,0,"91,916","76,928","26,039","194,883","313,348",0,"43,935","1,362","358,645","553,528",
KING,0,"248,614","10,583","24,007","283,204","30,390",104,"79,127","2,323","111,944","395,148",
KITSAP,"1,068","11,832","11,274","12,483","36,657","3,269","1,596",0,382,"5,247","41,904",
LEWIS,0,"350,702","152,906","83,346","586,954","82,904",0,"73,571",0,"156,475","743,429",
MASON,0,"183,911","14,867","13,649","212,427","6,921",0,"24,311",0,"31,232","243,659",
PACIFIC,0,"105,836","23,245","18,990","148,071","38,938",0,0,547,"39,485","187,556",
PIERCE,0,"146,402","16,351","19,555","182,308","6,518",0,"41,672","8,310","56,500","238,808",
SAN JUAN,0,0,0,"1,703","1,703",0,2,0,0,2,"1,705",
SKAGIT,636,"138,369","28,716","14,551","182,272","85,280",0,"51,355",0,"136,635","318,907",
SKAMANIA,0,"129,727","21,808","5,281","156,816","38,945","1,532","262,986",0,"303,463","460,279",
SNOHOMISH,"2,788","42,473","17,037","17,504","79,802","63,197",0,"51,175",0,"114,372","194,174",
THURSTON,22,"57,212","9,882","28,153","95,269","27,971",55,0,"6,065","34,091","129,360",
WAHKIAKUM,0,"48,303",0,"7,641","55,944","5,663",0,0,0,"5,663","61,607",
WHATCOM,689,"31,406","37,881","12,660","82,636","34,902",0,"27,425",0,"62,327","144,963",
,,,,,,,,,,,,
WESTSIDE TOTALS,"66,813","2,472,186","579,347","386,723","3,505,069","959,993","11,581","835,706","19,446","1,826,726","5,331,795",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
STATEWIDE TOTALS,"235,054","2,849,386","627,909","511,357","4,223,706","1,064,431","14,578","1,232,257","20,985","2,332,251","6,555,957",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
