,,DEPARTMENT OF NATURAL RESOURCES,,,,,,,,,,
,,Timber Harvest Summary —   All Ownerships,,,,,,,,,,
,,1975,,,,,,,,,,
,,,,,,,,,,,,
,,"( Thousand board feet, Scribner rule )",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
REGIONS,,,,,OWNER,CLASSES,,,,,TOTAL,
AND,Native,Forest,Private,Private,Total,,Other,National,Other,Total,ALL,
COUNTIES,American,Industry,Large,Small,Private,State,Non-federal,Forest,Federal,Public,OWNERSHIPS,
,,,,,,,,,,,,
EASTERN  WASHINGTON,,,,,,,,,,,,
ASOTIN,0,942,0,"8,056","8,998","2,378",0,"7,393",0,"9,771","18,769",
BENTON,0,0,0,0,0,0,0,0,0,0,0,
CHELAN,0,"34,348",480,"3,052","37,880",4,"2,791","52,221",0,"55,016","92,896",
COLUMBIA,0,"1,082",0,"2,141","3,223",0,193,"8,139",0,"8,332","11,555",
DOUGLAS,0,0,0,0,0,0,0,0,0,0,0,
FERRY,"67,259","10,331",736,"2,066","80,392",90,96,"34,928",0,"35,114","115,506",
GARFIELD,0,276,0,"1,979","2,255",0,0,"8,068",0,"8,068","10,323",
KITTITAS,0,"45,522","6,446","1,638","53,606","11,107","1,311","54,161",0,"66,579","120,185",
KLICKITAT,"11,398","41,711","1,704","3,609","58,422","12,757",0,305,0,"13,062","71,484",
LINCOLN,0,0,140,305,445,4,0,0,0,4,449,
OKANOGAN,"24,961","7,837","13,008","3,186","48,992","16,957",115,"61,660",0,"78,732","127,724",
PEND ORIELLE,172,"20,294","2,612","14,862","37,940","1,821",40,"23,688",30,"25,579","63,519",
SPOKANE,0,"11,868","4,230","12,338","28,436",58,480,0,0,538,"28,974",
STEVENS,"19,783","29,965","10,817","25,430","85,995","8,138",60,"16,702","2,685","27,585","113,580",
WALLA WALLA,0,"1,028",32,96,"1,156",32,0,369,0,401,"1,557",
WHITMAN,0,28,0,"3,085","3,113",0,0,0,0,0,"3,113",
YAKIMA,"144,596","7,785",0,"3,229","155,610","5,436",0,"72,213",0,"77,649","233,259",
,,,,,,,,,,,,
,,,,,,,,,,,,
EASTSIDE TOTALS,"268,169","213,017","40,205","85,072","606,463","58,782","5,086","339,847","2,715","406,430","1,012,893",
,,,,,,,,,,,,
,,,,,,,,,,,,
WESTERN  WASHINGTON,,,,,,,,,,,,
CLALLAM,"18,246","176,143","28,355","9,073","231,817","75,558",600,"78,681",177,"155,016","386,833",
CLARK,0,"4,036","2,445","13,212","19,693","6,577",0,0,0,"6,577","26,270",
COWLITZ,0,"630,413","2,510","17,081","650,004","33,258",0,"17,849",0,"51,107","701,111",
GRAYS HARBOR,"120,283","242,058","22,690","27,823","412,854","7,208",468,"70,067",0,"77,743","490,597",
ISLAND,0,"5,170",897,"12,516","18,583",280,0,0,200,480,"19,063",
JEFFERSON,"6,862","99,737","36,370","11,786","154,755","206,108",629,"19,579",555,"226,871","381,626",
KING,0,"225,754","83,827","60,542","370,123","20,832","9,759","33,370","1,057","65,018","435,141",
KITSAP,"1,598","8,197","6,533","10,265","26,593","1,199",773,0,135,"2,107","28,700",
LEWIS,0,"675,294","27,176","34,390","736,860","11,894",0,"145,340",0,"157,234","894,094",
MASON,0,"57,811","13,515","19,403","90,729","4,458","1,230","73,890",0,"79,578","170,307",
PACIFIC,0,"387,290","1,830","6,835","395,955","10,281",586,0,0,"10,867","406,822",
PIERCE,0,"166,648","10,061","32,344","209,053","14,525","2,119","23,757","33,079","73,480","282,533",
SAN JUAN,0,0,"5,341","7,985","13,326",0,0,0,0,0,"13,326",
SKAGIT,0,"90,267","4,423","12,415","107,105","19,366",320,"53,658",0,"73,344","180,449",
SKAMANIA,0,"22,319","26,552","5,265","54,136","5,949",161,"184,103",0,"190,213","244,349",
SNOHOMISH,974,"79,064","19,495","60,687","160,220","25,201",308,"52,224",0,"77,733","237,953",
THURSTON,933,"61,414","9,033","40,660","112,040","2,880",0,0,"3,776","6,656","118,696",
WAHKIAKUM,0,"53,609",0,"3,969","57,578","5,540","1,666",0,0,"7,206","64,784",
WHATCOM,"2,073","38,322","3,541","9,266","53,202","30,200",122,"5,980",0,"36,302","89,504",
,,,,,,,,,,,,
WESTSIDE TOTALS,"150,969","3,023,546","304,594","395,517","3,874,626","481,314","18,741","758,498","38,979","1,297,532","5,172,158",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
STATEWIDE TOTALS,"419,138","3,236,563","344,799","480,589","4,481,089","540,096","23,827","1,098,345","41,694","1,703,962","6,185,051",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
