,,DEPARTMENT OF NATURAL RESOURCES,,,,,,,,,,
,,Timber Harvest Summary —   All Ownerships,,,,,,,,,,
,,1982,,,,,,,,,,
,,,,,,,,,,,,
,,"( Thousand board feet, Scribner rule )",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
REGIONS,,,,,OWNER,CLASSES,,,,,TOTAL,
AND,Native,Forest,Private,Private,Total,,Other,National,Other,Total,ALL,
COUNTIES,American,Industry,Large,Small,Private,State,Non-federal,Forest,Federal,Public,OWNERSHIPS,
,,,,,,,,,,,,
EASTERN  WASHINGTON,,,,,,,,,,,,
ASOTIN,0,0,28,822,850,0,0,"2,024",0,"2,024","2,874",
BENTON,0,0,0,0,0,0,0,0,0,0,0,
CHELAN,0,"25,265",0,"1,176","26,441",600,"2,401","31,626",0,"34,627","61,068",
COLUMBIA,0,0,140,"3,465","3,605","1,017",0,"1,454",0,"2,471","6,076",
DOUGLAS,0,0,0,345,345,0,0,0,0,0,345,
FERRY,"26,628","24,437",340,"6,361","57,766",616,0,"18,242",656,"19,514","77,280",
GARFIELD,0,0,"1,572",914,"2,486",0,0,510,0,510,"2,996",
KITTITAS,0,"99,381",0,"1,913","101,294","1,533",0,"25,125",0,"26,658","127,952",
KLICKITAT,"10,925","57,746","1,312","5,524","75,507",973,352,199,0,"1,524","77,031",
LINCOLN,0,0,775,"2,878","3,653",502,0,0,0,502,"4,155",
OKANOGAN,"21,450","3,373",199,"8,503","33,525","4,684",0,"31,883",0,"36,567","70,092",
PEND ORIELLE,0,"22,569","4,838","10,854","38,261",762,0,"13,279",0,"14,041","52,302",
SPOKANE,0,510,"1,105","12,623","14,238",248,380,297,0,925,"15,163",
STEVENS,"4,368","47,645","2,254","32,340","86,607","6,218",0,"8,630","1,282","16,130","102,737",
WALLA WALLA,0,0,0,78,78,0,0,0,0,0,78,
WHITMAN,0,0,0,521,521,0,0,0,0,0,521,
YAKIMA,"58,011","22,283",0,2,"80,296","1,107",0,"45,519",0,"46,626","126,922",
,,,,,,,,,,,,
,,,,,,,,,,,,
EASTSIDE TOTALS,"121,382","303,209","12,563","88,319","525,473","18,260","3,133","178,788","1,938","202,119","727,592",
,,,,,,,,,,,,
,,,,,,,,,,,,
WESTERN  WASHINGTON,,,,,,,,,,,,
CLALLAM,"5,883","148,296","12,473","22,044","188,696","23,416",0,"51,953",92,"75,461","264,157",
CLARK,0,"11,030",715,"7,075","18,820","3,005",35,0,126,"3,166","21,986",
COWLITZ,0,"603,739","1,325","16,292","621,356","82,249",230,"4,515",0,"86,994","708,350",
GRAYS HARBOR,"19,106","487,479","27,440","11,299","545,324","3,549","1,127","38,998",132,"43,806","589,130",
ISLAND,0,"1,126","3,174","4,005","8,305",0,0,0,0,0,"8,305",
JEFFERSON,0,"117,655","13,178","1,685","132,518","167,334",0,"29,185","1,191","197,710","330,228",
KING,0,"232,715","3,173","5,753","241,641","1,652",17,"25,019",0,"26,688","268,329",
KITSAP,441,"13,599","9,958","8,573","32,571","4,002",30,0,0,"4,032","36,603",
LEWIS,0,"396,887","42,651","23,329","462,867","14,397",453,"27,211",0,"42,061","504,928",
MASON,0,"21,874","15,800","7,421","45,095","16,317",116,"28,928",0,"45,361","90,456",
PACIFIC,0,"285,527",566,"9,433","295,526","7,901",7,0,0,"7,908","303,434",
PIERCE,0,"170,944","4,712","7,988","183,644","6,777",0,"12,740","8,356","27,873","211,517",
SAN JUAN,0,0,0,"2,116","2,116",0,130,0,0,130,"2,246",
SKAGIT,304,"128,889",639,"9,950","139,782","19,683",0,"39,743",0,"59,426","199,208",
SKAMANIA,0,"158,014","1,320","1,651","160,985","3,816",0,"244,566",751,"249,133","410,118",
SNOHOMISH,"2,690","86,180","10,265","14,515","113,650","28,558",0,"40,860",0,"69,418","183,068",
THURSTON,"1,459","56,721","2,776","10,450","71,406","5,376",75,0,644,"6,095","77,501",
WAHKIAKUM,0,"62,523",0,"2,153","64,676","10,058",360,0,0,"10,418","75,094",
WHATCOM,522,"27,428","4,381","5,404","37,735","23,260",0,"5,819",0,"29,079","66,814",
,,,,,,,,,,,,
WESTSIDE TOTALS,"30,405","3,010,626","154,546","171,136","3,366,713","421,350","2,580","549,537","11,292","984,759","4,351,472",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
STATEWIDE TOTALS,"151,787","3,313,835","167,109","259,455","3,892,186","439,610","5,713","728,325","13,230","1,186,878","5,079,064",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
