,,DEPARTMENT OF NATURAL RESOURCES,,,,,,,,,,
,,Timber Harvest Summary —   All Ownerships,,,,,,,,,,
,,1967,,,,,,,,,,
,,,,,,,,,,,,
,,"( Thousand board feet, Scribner rule )",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
REGIONS,,,,,OWNER,CLASSES,,,,,TOTAL,
AND,Native,Forest,Private,Private,Total,,Other,National,Other,Total,ALL,
COUNTIES,American,Industry,Large,Small,Private,State,Non-federal,Forest,Federal,Public,OWNERSHIPS,
,,,,,,,,,,,,
EASTERN  WASHINGTON,,,,,,,,,,,,
ASOTIN,0,0,"1,550",6,"1,556",0,0,500,0,500,"2,056",
BENTON,0,0,0,0,0,0,0,0,0,0,0,
CHELAN,0,"4,921",0,"2,301","7,222","4,393",0,"67,200",0,"71,593","78,815",
COLUMBIA,0,"1,674","2,070","2,952","6,696",88,0,"10,400",0,"10,488","17,184",
DOUGLAS,0,0,0,0,0,0,0,0,0,0,0,
FERRY,"73,893","5,067","3,782","4,852","87,594","5,264","7,097","50,876","2,376","65,613","153,207",
GARFIELD,0,0,0,302,302,0,0,"12,500",0,"12,500","12,802",
KITTITAS,0,"19,813","32,395","4,772","56,980","5,996",0,"39,100",0,"45,096","102,076",
KLICKITAT,"15,708","48,659","2,795","4,766","71,928","8,102",680,"1,400",0,"10,182","82,110",
LINCOLN,0,0,0,45,45,0,0,0,0,0,45,
OKANOGAN,"38,495",400,"1,158","3,921","43,974","23,083",0,"121,300",793,"145,176","189,150",
PEND ORIELLE,6,"3,651","1,901","9,076","14,634","4,084",0,"65,810",4,"69,898","84,532",
SPOKANE,0,0,"1,388","7,201","8,589",830,15,0,0,845,"9,434",
STEVENS,"16,249","13,289","9,986","24,685","64,209","10,832",0,"14,316",231,"25,379","89,588",
WALLA WALLA,0,879,"1,588",519,"2,986",0,0,0,0,0,"2,986",
WHITMAN,0,0,0,0,0,0,0,0,0,0,0,
YAKIMA,"136,430","25,442","2,967",186,"165,025","9,521","1,150","65,400",0,"76,071","241,096",
,,,,,,,,,,,,
,,,,,,,,,,,,
EASTSIDE TOTALS,"280,781","123,795","61,580","65,584","531,740","72,193","8,942","448,802","3,404","533,341","1,065,081",
,,,,,,,,,,,,
,,,,,,,,,,,,
WESTERN  WASHINGTON,,,,,,,,,,,,
CLALLAM,"16,546","177,338","17,304","9,828","221,016","45,937",0,"70,100",100,"116,137","337,153",
CLARK,0,"2,053",900,"8,125","11,078","4,652",0,0,0,"4,652","15,730",
COWLITZ,0,"341,985","17,758","15,807","375,550","49,620",0,"17,000",0,"66,620","442,170",
GRAYS HARBOR,"166,544","195,396","30,689","26,750","419,379","4,783","15,227","77,000",640,"97,650","517,029",
ISLAND,0,"1,020",450,"8,340","9,810",12,0,0,0,12,"9,822",
JEFFERSON,"2,139","94,042","46,141","8,004","150,326","158,040",350,"60,300",0,"218,690","369,016",
KING,0,"192,804","40,864","13,584","247,252","2,849","38,852","52,300","6,388","100,389","347,641",
KITSAP,0,"2,936","2,805","12,256","17,997",460,85,0,0,545,"18,542",
LEWIS,0,"493,434","46,597","35,206","575,237","14,337","1,105","151,500",0,"166,942","742,179",
MASON,0,"32,971","7,987","13,885","54,843","4,184",210,"84,100",0,"88,494","143,337",
PACIFIC,0,"371,988",541,"6,017","378,546","14,498",600,0,85,"15,183","393,729",
PIERCE,0,"208,388","33,690","15,498","257,576","11,931","3,313","61,300","11,229","87,773","345,349",
SAN JUAN,0,500,0,945,"1,445",0,0,0,0,0,"1,445",
SKAGIT,0,"100,778","7,955","14,400","123,133","16,807",257,"68,600",0,"85,664","208,797",
SKAMANIA,0,"21,494","51,657","2,223","75,374","10,830",0,"358,000",0,"368,830","444,204",
SNOHOMISH,0,"63,375","11,031","31,663","106,069","12,837",294,"95,100",752,"108,983","215,052",
THURSTON,0,"33,445",0,"26,359","59,804","12,538",250,0,959,"13,747","73,551",
WAHKIAKUM,0,"72,660",0,"16,353","89,013","14,636",38,0,0,"14,674","103,687",
WHATCOM,32,"47,065","10,167","14,184","71,448","15,955",0,"55,500",0,"71,455","142,903",
,,,,,,,,,,,,
WESTSIDE TOTALS,"185,261","2,453,672","326,536","279,427","3,244,896","394,906","60,581","1,150,800","20,153","1,626,440","4,871,336",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
STATEWIDE TOTALS,"466,042","2,577,467","388,116","345,011","3,776,636","467,099","69,523","1,599,602","23,557","2,159,781","5,936,417",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
