,,DEPARTMENT OF NATURAL RESOURCES,,,,,,,,,,
,,Timber Harvest Summary —   All Ownerships,,,,,,,,,,
,,1989,,,,,,,,,,
,,,,,,,,,,,,
,,"( Thousand board feet, Scribner rule )",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
REGIONS,,,,,OWNER,CLASSES,,,,,TOTAL,
AND,Native,Forest,Private,Private,Total,,Other,National,Other,Total,ALL,
COUNTIES,American,Industry,Large,Small,Private,State,Non-federal,Forest,Federal,Public,OWNERSHIPS,
,,,,,,,,,,,,
EASTERN  WASHINGTON,,,,,,,,,,,,
ASOTIN,0,0,954,"3,165","4,119",0,0,0,0,0,"4,119",
BENTON,0,0,0,0,0,0,0,0,0,0,0,
CHELAN,0,"6,097",0,"1,987","8,084","2,402","1,157","63,226",0,"66,785","74,869",
COLUMBIA,0,593,"2,452","4,650","7,695","1,491",0,"11,457",0,"12,948","20,643",
DOUGLAS,0,0,0,284,284,0,0,0,0,0,284,
FERRY,"41,995","21,853","2,478","13,343","79,669",0,0,"62,131",0,"62,131","141,800",
GARFIELD,0,"1,391",0,939,"2,330",0,0,"14,929",0,"14,929","17,259",
KITTITAS,0,"132,299",0,"11,725","144,024","8,861",0,"52,883",0,"61,744","205,768",
KLICKITAT,"8,257","66,354","4,261","16,449","95,321","23,400",0,"2,963",0,"26,363","121,684",
LINCOLN,0,0,0,"3,417","3,417",0,0,0,0,0,"3,417",
OKANOGAN,"31,974","23,204","1,827","9,504","66,509","8,432",0,"98,178",0,"106,610","173,119",
PEND ORIELLE,0,"62,664","7,247","16,182","86,093","1,852",286,"36,252",0,"38,390","124,483",
SPOKANE,0,"2,492","3,778","24,886","31,156","3,820",5,0,0,"3,825","34,981",
STEVENS,0,"49,290","35,688","57,105","142,083","34,914",0,"23,931",614,"59,459","201,542",
WALLA WALLA,0,0,97,628,725,0,0,0,0,0,725,
WHITMAN,0,0,0,830,830,0,0,0,0,0,830,
YAKIMA,"105,933","27,230",0,169,"133,332","32,695",0,"67,561",0,"100,256","233,588",
,,,,,,,,,,,,
,,,,,,,,,,,,
EASTSIDE TOTALS,"188,159","393,467","58,782","165,263","805,671","117,867","1,448","433,511",614,"553,440","1,359,111",
,,,,,,,,,,,,
,,,,,,,,,,,,
WESTERN  WASHINGTON,,,,,,,,,,,,
CLALLAM,"14,981","126,430","95,848","42,678","279,937","88,940",10,"41,158",0,"130,108","410,045",
CLARK,0,"63,053",522,"41,039","104,614","14,478",0,28,0,"14,506","119,120",
COWLITZ,0,"355,652","25,925","52,058","433,635","84,525",0,"9,275",0,"93,800","527,435",
GRAYS HARBOR,"43,416","390,680","160,904","53,232","648,232","48,463","8,573","45,785",0,"102,821","751,053",
ISLAND,0,0,"10,223","8,063","18,286",0,0,0,0,0,"18,286",
JEFFERSON,0,"57,616","47,902","20,790","126,308","116,396",0,"41,067",0,"157,463","283,771",
KING,0,"236,117","12,312","14,846","263,275","16,805","1,378","52,452",0,"70,635","333,910",
KITSAP,0,"3,764","15,751","22,368","41,883","4,484","1,892",0,0,"6,376","48,259",
LEWIS,0,"256,923","112,160","142,241","511,324","49,892",0,"188,219",0,"238,111","749,435",
MASON,"9,729","223,150","88,332","31,536","352,747","8,057",0,"26,229",0,"34,286","387,033",
PACIFIC,0,"234,593","78,395","35,087","348,075","23,850",0,0,0,"23,850","371,925",
PIERCE,0,"117,479","22,742","28,914","169,135","26,423",0,"27,856","5,270","59,549","228,684",
SAN JUAN,0,0,215,"3,952","4,167",0,116,0,0,116,"4,283",
SKAGIT,632,"102,317","54,075","35,822","192,846","60,113",0,"18,464",0,"78,577","271,423",
SKAMANIA,0,"9,070","23,394","6,601","39,065","36,968",117,"193,493",0,"230,578","269,643",
SNOHOMISH,"3,745","55,356","38,260","64,852","162,213","61,418",0,"46,460",0,"107,878","270,091",
THURSTON,0,"77,325","26,286","53,574","157,185","33,958",0,0,"3,545","37,503","194,688",
WAHKIAKUM,0,"80,432","13,900","7,995","102,327","6,169",0,0,0,"6,169","108,496",
WHATCOM,"1,060","23,940","37,079","21,052","83,131","43,179",0,"17,945",0,"61,124","144,255",
,,,,,,,,,,,,
WESTSIDE TOTALS,"73,563","2,413,897","864,225","686,700","4,038,385","724,118","12,086","708,431","8,815","1,453,450","5,491,835",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
STATEWIDE TOTALS,"261,722","2,807,364","923,007","851,963","4,844,056","841,985","13,534","1,141,942","9,429","2,006,890","6,850,946",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
