,,DEPARTMENT OF NATURAL RESOURCES,,,,,,,,,,
,,Timber Harvest Summary —   All Ownerships,,,,,,,,,,
,,1976,,,,,,,,,,
,,,,,,,,,,,,
,,"( Thousand board feet, Scribner rule )",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
REGIONS,,,,,OWNER,CLASSES,,,,,TOTAL,
AND,Native,Forest,Private,Private,Total,,Other,National,Other,Total,ALL,
COUNTIES,American,Industry,Large,Small,Private,State,Non-federal,Forest,Federal,Public,OWNERSHIPS,
,,,,,,,,,,,,
EASTERN  WASHINGTON,,,,,,,,,,,,
ASOTIN,0,0,"4,092","4,679","8,771",123,0,"4,482",0,"4,605","13,376",
BENTON,0,0,0,0,0,0,0,0,0,0,0,
CHELAN,0,"13,839","5,132","22,453","41,424",0,"1,148","41,432",0,"42,580","84,004",
COLUMBIA,0,77,"2,145","1,172","3,394","2,165",0,"9,243",0,"11,408","14,802",
DOUGLAS,0,0,853,0,853,0,0,0,0,0,853,
FERRY,"66,360","16,321",501,"4,978","88,160","2,592",0,"24,036",161,"26,789","114,949",
GARFIELD,0,255,"1,082","3,136","4,473",0,0,"9,867",0,"9,867","14,340",
KITTITAS,0,"57,815",141,"3,373","61,329","2,417","9,863","61,241",0,"73,521","134,850",
KLICKITAT,"21,911","51,517","8,063","6,234","87,725","12,541",0,"6,792",0,"19,333","107,058",
LINCOLN,0,95,0,"4,909","5,004",0,0,0,0,0,"5,004",
OKANOGAN,"45,722","6,120","7,475","7,350","66,667","14,772",0,"91,181",0,"105,953","172,620",
PEND ORIELLE,0,"14,477","2,429","13,967","30,873","1,369",866,"30,225",0,"32,460","63,333",
SPOKANE,0,"15,933","4,333","21,624","41,890",258,"1,020",0,0,"1,278","43,168",
STEVENS,"17,582","50,124","3,961","41,550","113,217","11,497",58,"13,400","4,690","29,645","142,862",
WALLA WALLA,0,0,412,58,470,0,0,0,0,0,470,
WHITMAN,0,0,677,78,755,0,0,0,0,0,755,
YAKIMA,"122,031","12,152",0,0,"134,183","13,319",0,"71,997",0,"85,316","219,499",
,,,,,,,,,,,,
,,,,,,,,,,,,
EASTSIDE TOTALS,"273,606","238,725","41,296","135,561","689,188","61,053","12,955","363,896","4,851","442,755","1,131,943",
,,,,,,,,,,,,
,,,,,,,,,,,,
WESTERN  WASHINGTON,,,,,,,,,,,,
CLALLAM,"11,749","200,871","40,178","15,102","267,900","94,104",0,"65,722",0,"159,826","427,726",
CLARK,0,"10,309","1,807","15,653","27,769","7,797",0,"2,929",0,"10,726","38,495",
COWLITZ,0,"750,160","1,280","24,041","775,481","57,924",0,347,0,"58,271","833,752",
GRAYS HARBOR,"225,909","236,108","12,043","18,268","492,328","10,480",437,"89,384",0,"100,301","592,629",
ISLAND,0,833,856,"13,418","15,107",290,0,0,0,290,"15,397",
JEFFERSON,0,"170,487","5,187","9,550","185,224","329,670",505,"29,876","2,334","362,385","547,609",
KING,0,"336,314","12,170","33,533","382,017","17,507","17,718","32,588",465,"68,278","450,295",
KITSAP,"4,074","15,112","7,142","17,543","43,871","4,194",11,0,995,"5,200","49,071",
LEWIS,0,"645,158","39,358","29,047","713,563","29,052",111,"66,591",0,"95,754","809,317",
MASON,0,"46,407","9,621","20,513","76,541","3,697",0,"111,093",0,"114,790","191,331",
PACIFIC,0,"462,802","1,634","11,817","476,253","16,355",0,0,0,"16,355","492,608",
PIERCE,0,"206,215","20,255","32,646","259,116","6,734",37,"51,782","13,613","72,166","331,282",
SAN JUAN,0,0,913,"11,563","12,476",0,0,0,0,0,"12,476",
SKAGIT,0,"98,287","10,752","14,553","123,592","31,500","2,563","55,649",0,"89,712","213,304",
SKAMANIA,0,"92,738","1,563","4,898","99,199","17,107",180,"251,025","1,812","270,124","369,323",
SNOHOMISH,10,"43,538","3,830","43,903","91,281","26,697",0,"62,985",0,"89,682","180,963",
THURSTON,648,"60,860","9,314","27,861","98,683","4,583",200,0,585,"5,368","104,051",
WAHKIAKUM,0,"54,177",0,"3,547","57,724","16,491",8,0,0,"16,499","74,223",
WHATCOM,10,"33,014","3,218","6,848","43,090","31,232",0,"30,577",0,"61,809","104,899",
,,,,,,,,,,,,
WESTSIDE TOTALS,"242,400","3,463,390","181,121","354,304","4,241,215","705,414","21,770","850,548","19,804","1,597,536","5,838,751",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
STATEWIDE TOTALS,"516,006","3,702,115","222,417","489,865","4,930,403","766,467","34,725","1,214,444","24,655","2,040,291","6,970,694",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
