,,DEPARTMENT OF NATURAL RESOURCES,,,,,,,,,,
,,Timber Harvest Summary —   All Ownerships,,,,,,,,,,
,,1977,,,,,,,,,,
,,,,,,,,,,,,
,,"( Thousand board feet, Scribner rule )",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
REGIONS,,,,,OWNER,CLASSES,,,,,TOTAL,
AND,Native,Forest,Private,Private,Total,,Other,National,Other,Total,ALL,
COUNTIES,American,Industry,Large,Small,Private,State,Non-federal,Forest,Federal,Public,OWNERSHIPS,
,,,,,,,,,,,,
EASTERN  WASHINGTON,,,,,,,,,,,,
ASOTIN,0,0,39,"4,645","4,684",147,102,"11,865",0,"12,114","16,798",
BENTON,0,0,0,0,0,0,0,0,0,0,0,
CHELAN,0,"42,724","3,122","7,577","53,423",0,642,"33,865",0,"34,507","87,930",
COLUMBIA,0,0,"2,726","1,412","4,138","1,394",0,81,0,"1,475","5,613",
DOUGLAS,0,0,0,"1,934","1,934",0,0,0,0,0,"1,934",
FERRY,"72,709","8,769",395,"7,361","89,234",0,0,"28,860",0,"28,860","118,094",
GARFIELD,0,0,"1,146","1,175","2,321",0,0,"13,226",0,"13,226","15,547",
KITTITAS,0,"43,619","4,459","15,587","63,665","7,154","26,635","44,366",0,"78,155","141,820",
KLICKITAT,"19,707","40,378","6,736","18,231","85,052","15,236",0,500,0,"15,736","100,788",
LINCOLN,0,0,0,"8,718","8,718",243,0,0,0,243,"8,961",
OKANOGAN,"63,512",225,"2,942","16,376","83,055","24,920",0,"68,521","2,732","96,173","179,228",
PEND ORIELLE,165,"21,621","2,516","22,883","47,185","1,631","3,421","28,079",23,"33,154","80,339",
SPOKANE,0,"9,906","5,316","26,941","42,163","4,368",297,0,0,"4,665","46,828",
STEVENS,"15,143","32,747","2,745","51,431","102,066","14,686",0,"23,648","4,185","42,519","144,585",
WALLA WALLA,0,0,0,"1,118","1,118",0,0,0,0,0,"1,118",
WHITMAN,0,0,310,687,997,0,0,0,0,0,997,
YAKIMA,"127,255","9,277",0,"4,296","140,828","8,942",0,"68,873",0,"77,815","218,643",
,,,,,,,,,,,,
,,,,,,,,,,,,
EASTSIDE TOTALS,"298,491","209,266","32,452","190,372","730,581","78,721","31,097","321,884","6,940","438,642","1,169,223",
,,,,,,,,,,,,
,,,,,,,,,,,,
WESTERN  WASHINGTON,,,,,,,,,,,,
CLALLAM,"6,018","180,035","35,092","21,618","242,763","77,561",17,"88,496",0,"166,074","408,837",
CLARK,0,"11,415",0,"20,678","32,093","10,811",0,"8,050",0,"18,861","50,954",
COWLITZ,0,"717,714","1,231","19,869","738,814","60,077",0,794,0,"60,871","799,685",
GRAYS HARBOR,"168,408","208,111","9,037","24,776","410,332","10,354","6,520","74,607",0,"91,481","501,813",
ISLAND,0,345,"1,534","10,010","11,889",499,45,0,0,544,"12,433",
JEFFERSON,0,"135,830","1,657","9,179","146,666","303,777",978,"69,041",0,"373,796","520,462",
KING,0,"305,204","5,149","24,129","334,482","11,321","13,146","34,656","2,880","62,003","396,485",
KITSAP,"3,825","15,390","6,243","17,188","42,646","2,329","1,400",0,0,"3,729","46,375",
LEWIS,0,"542,105","39,925","65,878","647,908","29,487",43,"94,348",0,"123,878","771,786",
MASON,0,"48,125","11,926","20,896","80,947","7,242",330,"100,302",0,"107,874","188,821",
PACIFIC,0,"404,961",487,"14,119","419,567","17,054",79,0,0,"17,133","436,700",
PIERCE,0,"129,758","6,131","82,574","218,463","14,653","1,334","38,499","8,274","62,760","281,223",
SAN JUAN,0,0,"2,041","8,418","10,459",0,0,0,0,0,"10,459",
SKAGIT,0,"55,006","7,858","22,758","85,622","48,619",53,"52,885",0,"101,557","187,179",
SKAMANIA,0,"90,603",10,"3,185","93,798","17,118",17,"195,818",0,"212,953","306,751",
SNOHOMISH,0,"46,713","5,011","40,722","92,446","45,442",140,"72,894",0,"118,476","210,922",
THURSTON,0,"59,696","3,368","40,422","103,486","7,417",0,0,"5,564","12,981","116,467",
WAHKIAKUM,0,"51,450",0,"4,563","56,013","26,624",0,0,0,"26,624","82,637",
WHATCOM,0,"32,284","2,988","10,448","45,720","27,579",110,"18,364",0,"46,053","91,773",
,,,,,,,,,,,,
WESTSIDE TOTALS,"178,251","3,034,745","139,688","461,430","3,814,114","717,964","24,212","848,754","16,718","1,607,648","5,421,762",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
STATEWIDE TOTALS,"476,742","3,244,011","172,140","651,802","4,544,695","796,685","55,309","1,170,638","23,658","2,046,290","6,590,985",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
