,,DEPARTMENT OF NATURAL RESOURCES,,,,,,,,,,
,,Timber Harvest Summary —   All Ownerships,,,,,,,,,,
,,1968,,,,,,,,,,
,,,,,,,,,,,,
,,"( Thousand board feet, Scribner rule )",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
REGIONS,,,,,OWNER,CLASSES,,,,,TOTAL,
AND,Native,Forest,Private,Private,Total,,Other,National,Other,Total,ALL,
COUNTIES,American,Industry,Large,Small,Private,State,Non-federal,Forest,Federal,Public,OWNERSHIPS,
,,,,,,,,,,,,
EASTERN  WASHINGTON,,,,,,,,,,,,
ASOTIN,0,0,"1,277",506,"1,783",0,0,"4,900",0,"4,900","6,683",
BENTON,0,0,0,0,0,0,0,0,0,0,0,
CHELAN,0,"10,074",388,"2,317","12,779",0,0,"72,700",0,"72,700","85,479",
COLUMBIA,0,160,"1,500",910,"2,570",0,0,"10,900",0,"10,900","13,470",
DOUGLAS,0,0,0,0,0,0,0,0,0,0,0,
FERRY,"110,008","15,972","2,901","7,206","136,087","9,050",0,"34,981",753,"44,784","180,871",
GARFIELD,0,0,300,481,781,0,0,"7,600",0,"7,600","8,381",
KITTITAS,0,"16,521","42,691","1,211","60,423","6,824",0,"73,400",0,"80,224","140,647",
KLICKITAT,"1,585","56,810","2,045","5,156","65,596","14,920",0,500,700,"16,120","81,716",
LINCOLN,0,0,514,0,514,17,0,0,0,17,531,
OKANOGAN,"34,135","2,373","1,401","4,992","42,901","21,711",0,"121,600","3,200","146,511","189,412",
PEND ORIELLE,628,"7,576","2,122","11,846","22,172","2,122",0,"66,173",0,"68,295","90,467",
SPOKANE,0,0,971,"11,706","12,677","1,292",282,0,272,"1,846","14,523",
STEVENS,"14,342","13,277","10,152","26,397","64,168","20,867",0,"26,115","4,859","51,841","116,009",
WALLA WALLA,0,0,"5,918","1,518","7,436",0,0,0,0,0,"7,436",
WHITMAN,0,0,0,0,0,0,0,0,0,0,0,
YAKIMA,"152,624","11,339","9,541",381,"173,885","15,391",0,"53,800",0,"69,191","243,076",
,,,,,,,,,,,,
,,,,,,,,,,,,
EASTSIDE TOTALS,"313,322","134,102","81,721","74,627","603,772","92,194",282,"472,669","9,784","574,929","1,178,701",
,,,,,,,,,,,,
,,,,,,,,,,,,
WESTERN  WASHINGTON,,,,,,,,,,,,
CLALLAM,"14,625","170,500","18,872","9,974","213,971","79,433",0,"90,900",0,"170,333","384,304",
CLARK,0,"15,788",506,"10,285","26,579","4,784",0,0,0,"4,784","31,363",
COWLITZ,0,"492,677","8,728","16,738","518,143","87,642",530,"14,800",0,"102,972","621,115",
GRAYS HARBOR,"201,775","195,449","54,803","37,033","489,060","9,730","15,659","108,200",0,"133,589","622,649",
ISLAND,0,"3,249",0,"6,720","9,969",557,0,0,265,822,"10,791",
JEFFERSON,8,"115,891","34,683","7,522","158,104","202,455",165,"62,800","1,730","267,150","425,254",
KING,0,"202,935","40,055","9,459","252,449","16,984","35,480","43,600",0,"96,064","348,513",
KITSAP,0,"2,115","3,487","14,101","19,703",945,473,0,570,"1,988","21,691",
LEWIS,0,"592,026","33,826","31,495","657,347","26,207",0,"165,600","4,860","196,667","854,014",
MASON,0,"49,258","13,050","10,942","73,250","9,121","2,454","85,900","2,154","99,629","172,879",
PACIFIC,0,"534,146","1,030","11,105","546,281","23,687",0,0,"3,872","27,559","573,840",
PIERCE,0,"234,502","16,932","26,655","278,089","10,145","2,764","41,700","23,569","78,178","356,267",
SAN JUAN,0,590,70,"2,766","3,426",0,0,0,0,0,"3,426",
SKAGIT,0,"125,004","5,465","8,502","138,971","27,215","1,509","78,000",0,"106,724","245,695",
SKAMANIA,0,"5,133","58,153",484,"63,770","18,131",0,"467,300",0,"485,431","549,201",
SNOHOMISH,0,"48,287","8,413","30,228","86,928","22,209",814,"111,100",344,"134,467","221,395",
THURSTON,0,"48,403","5,897","24,960","79,260","12,681","2,365",0,"1,149","16,195","95,455",
WAHKIAKUM,0,"89,380",0,"10,427","99,807","6,495",0,0,0,"6,495","106,302",
WHATCOM,0,"56,286","3,775","6,849","66,910","30,239",212,"48,700",0,"79,151","146,061",
,,,,,,,,,,,,
WESTSIDE TOTALS,"216,408","2,981,619","307,745","276,245","3,782,017","588,660","62,425","1,318,600","38,513","2,008,198","5,790,215",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
STATEWIDE TOTALS,"529,730","3,115,721","389,466","350,872","4,385,789","680,854","62,707","1,791,269","48,297","2,583,127","6,968,916",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
