,,DEPARTMENT OF NATURAL RESOURCES,,,,,,,,,,
,,Timber Harvest Summary —   All Ownerships,,,,,,,,,,
,,1985,,,,,,,,,,
,,,,,,,,,,,,
,,"( Thousand board feet, Scribner rule )",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
REGIONS,,,,,OWNER,CLASSES,,,,,TOTAL,
AND,Native,Forest,Private,Private,Total,,Other,National,Other,Total,ALL,
COUNTIES,American,Industry,Large,Small,Private,State,Non-federal,Forest,Federal,Public,OWNERSHIPS,
,,,,,,,,,,,,
EASTERN  WASHINGTON,,,,,,,,,,,,
ASOTIN,0,0,271,886,"1,157",0,0,"6,386",0,"6,386","7,543",
BENTON,0,0,0,0,0,0,0,0,0,0,0,
CHELAN,0,"16,747",0,"4,503","21,250",0,0,"65,477",0,"65,477","86,727",
COLUMBIA,0,0,323,"2,394","2,717",0,0,"3,566",896,"4,462","7,179",
DOUGLAS,0,0,0,0,0,0,0,0,0,0,0,
FERRY,"32,871","23,712",907,"11,409","68,899",0,0,"21,462",150,"21,612","90,511",
GARFIELD,0,0,0,739,739,0,0,0,0,0,739,
KITTITAS,0,"163,405",0,"1,892","165,297","7,224",0,"80,722",0,"87,946","253,243",
KLICKITAT,"2,681","50,814","3,797","7,674","64,966","22,680",0,719,0,"23,399","88,365",
LINCOLN,0,29,0,"3,568","3,597",87,0,0,0,87,"3,684",
OKANOGAN,"21,915","27,790","4,327","3,947","57,979","30,218",35,"61,232",0,"91,485","149,464",
PEND ORIELLE,0,"43,142","3,202","13,272","59,616","1,737",0,"16,578",0,"18,315","77,931",
SPOKANE,0,"4,505","6,342","22,511","33,358","1,059",192,0,0,"1,251","34,609",
STEVENS,"4,427","32,211","7,669","53,314","97,621","15,102",0,"22,617","1,698","39,417","137,038",
WALLA WALLA,0,0,0,484,484,"2,272",0,0,0,"2,272","2,756",
WHITMAN,0,0,0,"1,327","1,327",0,0,0,0,0,"1,327",
YAKIMA,"86,490","17,893",0,0,"104,383","13,166",0,"45,379",0,"58,545","162,928",
,,,,,,,,,,,,
,,,,,,,,,,,,
EASTSIDE TOTALS,"148,384","380,248","26,838","127,920","683,390","93,545",227,"324,138","2,744","420,654","1,104,044",
,,,,,,,,,,,,
,,,,,,,,,,,,
WESTERN  WASHINGTON,,,,,,,,,,,,
CLALLAM,"1,497","110,029","62,453","31,775","205,754","147,620",69,"126,667",0,"274,356","480,110",
CLARK,0,"21,610","2,170","9,627","33,407","9,053","1,822",0,0,"10,875","44,282",
COWLITZ,0,"289,084","1,680","72,032","362,796","28,426",396,"6,096",60,"34,978","397,774",
GRAYS HARBOR,"55,107","491,025","72,617","21,081","639,830","77,838","12,157","24,168",0,"114,163","753,993",
ISLAND,0,113,"2,677","7,238","10,028","4,169",0,0,"1,010","5,179","15,207",
JEFFERSON,0,"95,424","32,138","35,746","163,308","278,834",42,"39,274",150,"318,300","481,608",
KING,9,"212,724","1,826","6,188","220,747","21,349","9,938","64,767","2,181","98,235","318,982",
KITSAP,640,"14,111","10,860","7,567","33,178","7,309","2,344",0,"1,697","11,350","44,528",
LEWIS,0,"233,499","94,794","71,173","399,466","70,557",0,"79,768",0,"150,325","549,791",
MASON,"1,543","105,403","15,646","10,677","133,269","14,146",0,"59,454",0,"73,600","206,869",
PACIFIC,0,"112,606","10,338","18,183","141,127","9,815",0,0,"1,825","11,640","152,767",
PIERCE,0,"165,478","5,005","16,973","187,456","15,934",0,"36,529","8,721","61,184","248,640",
SAN JUAN,0,0,552,"1,861","2,413",0,0,0,0,0,"2,413",
SKAGIT,626,"77,869","64,922","19,394","162,811","84,189",0,"24,389",0,"108,578","271,389",
SKAMANIA,0,"89,462","26,642","2,232","118,336","31,506",0,"243,492",0,"274,998","393,334",
SNOHOMISH,"4,414","40,428","14,323","13,565","72,730","60,850",0,"70,225",670,"131,745","204,475",
THURSTON,25,"48,678","3,328","28,423","80,454","32,473",0,0,"1,848","34,321","114,775",
WAHKIAKUM,0,"73,947",0,"3,501","77,448","5,408",0,0,0,"5,408","82,856",
WHATCOM,"1,008","30,166","8,479","7,060","46,713","20,304",0,"28,689",0,"48,993","95,706",
,,,,,,,,,,,,
WESTSIDE TOTALS,"64,869","2,211,656","430,450","384,296","3,091,271","919,780","26,768","803,518","18,162","1,768,228","4,859,499",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
STATEWIDE TOTALS,"213,253","2,591,904","457,288","512,216","3,774,661","1,013,325","26,995","1,127,656","20,906","2,188,882","5,963,543",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
