,,DEPARTMENT OF NATURAL RESOURCES,,,,,,,,,
,,Timber Harvest Summary —   All Ownerships,,,,,,,,,
,,2001,,,,,,,,,
,,,,,,,,,,,
,,"( Thousand board feet, Scribner rule )",,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
REGIONS,,,,,OWNER,CLASSES,,,,,TOTAL
AND,Native,Forest,Private,Private,Total,,Other,National,Other,Total,ALL
COUNTIES,American,Industry,Large,Small,Private,State,Non-federal,Forest,Federal,Public,OWNERSHIPS
,,,,,,,,,,,
EASTERN  WASHINGTON,,,,,,,,,,,
ASOTIN,0,867,292,"2,005","3,164",0,0,0,0,0,"3,164"
BENTON,0,0,0,0,0,0,0,0,0,0,0
CHELAN,0,0,"4,752","1,376","6,128","1,095",0,"8,546",0,"9,641","15,769"
COLUMBIA,0,312,868,930,"2,110","2,028",0,163,0,"2,191","4,301"
DOUGLAS,0,0,0,"1,359","1,359",0,0,0,0,0,"1,359"
FERRY,"46,476","4,662",202,"8,578","59,918","2,926",3,"8,115",0,"11,044","70,962"
GARFIELD,0,211,0,615,826,0,0,"3,459",0,"3,459","4,285"
KITTITAS,0,"34,998","12,402","34,399","81,799","4,337",0,"1,216",0,"5,553","87,352"
KLICKITAT,"12,100","34,259","23,292","20,155","89,806","14,896",0,0,0,"14,896","104,702"
LINCOLN,0,0,0,"2,534","2,534","3,079",0,0,0,"3,079","5,613"
OKANOGAN,"20,801",820,"3,462","7,258","32,341","13,237",0,"5,999",0,"19,236","51,577"
PEND ORIELLE,0,"33,169","26,511","16,316","75,996","3,559",3,"15,773",0,"19,335","95,331"
SPOKANE,0,"3,476","4,362","10,168","18,006","3,636",0,0,0,"3,636","21,642"
STEVENS,"14,760","39,495","25,987","59,754","139,996","21,487",0,"12,458",599,"34,544","174,540"
WALLA WALLA,0,"3,142",948,"1,331","5,421",0,0,0,0,0,"5,421"
WHITMAN,0,0,0,540,540,0,0,0,0,0,540
YAKIMA,"203,908","9,917","2,087","3,327","219,239","2,748",0,"5,603",0,"8,351","227,590"
,,,,,,,,,,,
,,,,,,,,,,,
EASTSIDE TOTALS,"298,045","165,328","105,165","170,645","739,183","73,028",6,"61,332",599,"134,965","874,148"
,,,,,,,,,,,
,,,,,,,,,,,
WESTERN  WASHINGTON,,,,,,,,,,,
CLALLAM,"2,159","88,892","53,048","47,753","191,852","34,937","3,330",771,0,"39,038","230,890"
CLARK,0,"21,377","2,616","14,242","38,235","15,652",0,0,0,"15,652","53,887"
COWLITZ,0,"157,775","37,017","14,784","209,576","38,556",0,0,0,"38,556","248,132"
GRAYS HARBOR,"23,328","253,079","61,053","64,610","402,070","25,501","15,327",399,0,"41,227","443,297"
ISLAND,0,0,143,"10,582","10,725",0,0,0,0,0,"10,725"
JEFFERSON,0,"15,891","27,499","7,030","50,420","11,422",0,0,0,"11,422","61,842"
KING,0,"93,193","20,044","19,859","133,096","10,981",0,79,0,"11,060","144,156"
KITSAP,10,"1,175",787,"14,637","16,609","2,949","5,300",0,956,"9,205","25,814"
LEWIS,0,"269,745","72,847","58,167","400,759","37,479",0,"2,880",0,"40,359","441,118"
MASON,0,"78,863","19,728","32,913","131,504","12,623",0,237,0,"12,860","144,364"
PACIFIC,0,"165,102","66,944","17,790","249,836","27,586",0,0,0,"27,586","277,422"
PIERCE,0,"117,565","20,262","38,045","175,872","17,843",20,0,"6,376","24,239","200,111"
SAN JUAN,0,0,0,"1,732","1,732",0,0,0,0,0,"1,732"
SKAGIT,483,"36,792","38,618","21,109","97,002","23,251","1,570",0,0,"24,821","121,823"
SKAMANIA,0,"5,030","11,970","5,037","22,037","8,304",0,"1,059",0,"9,363","31,400"
SNOHOMISH,238,"23,533","29,769","17,172","70,712","50,152",278,"1,275",0,"51,705","122,417"
THURSTON,0,"33,452","8,370","13,944","55,766","49,000",0,0,"2,605","51,605","107,371"
WAHKIAKUM,0,"6,964","66,746","3,594","77,304","19,159",0,0,0,"19,159","96,463"
WHATCOM,41,"14,820","9,040","17,343","41,244","37,620",0,0,0,"37,620","78,864"
,,,,,,,,,,,
WESTSIDE TOTALS,"26,259","1,383,248","546,501","420,343","2,376,351","423,015","25,825","6,700","9,937","465,477","2,841,828"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
STATEWIDE TOTALS,"324,304","1,548,576","651,666","590,988","3,115,534","496,043","25,831","68,032","10,536","600,442","3,715,976"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
