,,DEPARTMENT OF NATURAL RESOURCES,,,,,,,,,,
,,Timber Harvest Summary —   All Ownerships,,,,,,,,,,
,,1991,,,,,,,,,,
,,,,,,,,,,,,
,,"( Thousand board feet, Scribner rule )",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
REGIONS,,,,,OWNER,CLASSES,,,,,TOTAL,
AND,Native,Forest,Private,Private,Total,,Other,National,Other,Total,ALL,
COUNTIES,American,Industry,Large,Small,Private,State,Non-federal,Forest,Federal,Public,OWNERSHIPS,
,,,,,,,,,,,,
EASTERN  WASHINGTON,,,,,,,,,,,,
ASOTIN,0,39,"1,817","3,230","5,086",0,0,"1,478",0,"1,478","6,564",
BENTON,0,0,0,0,0,0,0,0,0,0,0,
CHELAN,0,0,"5,527","1,879","7,406","1,791",0,"48,016",0,"49,807","57,213",
COLUMBIA,0,0,767,"2,247","3,014",285,0,"6,978",0,"7,263","10,277",
DOUGLAS,0,0,0,2,2,0,0,0,0,0,2,
FERRY,"32,497","12,812",846,"11,098","57,253",0,0,"30,362",0,"30,362","87,615",
GARFIELD,0,209,86,403,698,0,0,"9,603",0,"9,603","10,301",
KITTITAS,0,"100,292","4,651","6,870","111,813","3,611",0,"40,311",0,"43,922","155,735",
KLICKITAT,"19,832","54,067","15,927","13,206","103,032","18,244",0,"7,805",0,"26,049","129,081",
LINCOLN,0,0,0,"4,155","4,155","1,386",0,0,0,"1,386","5,541",
OKANOGAN,"25,949","20,221",127,"4,986","51,283","17,862",0,"39,776",0,"57,638","108,921",
PEND ORIELLE,0,"65,861","1,710","10,133","77,704","2,543",155,"41,026",0,"43,724","121,428",
SPOKANE,0,"3,461","3,998","22,298","29,757",634,20,0,0,654,"30,411",
STEVENS,0,"103,570","18,283","42,371","164,224","15,569",0,"31,564",823,"47,956","212,180",
WALLA WALLA,0,0,19,"1,490","1,509",0,0,0,0,0,"1,509",
WHITMAN,0,0,0,764,764,0,0,0,0,0,764,
YAKIMA,"76,024","26,372","15,020","2,317","119,733","5,750",0,"27,385",0,"33,135","152,868",
,,,,,,,,,,,,
,,,,,,,,,,,,
EASTSIDE TOTALS,"154,302","386,904","68,778","127,449","737,433","67,675",175,"284,304",823,"352,977","1,090,410",
,,,,,,,,,,,,
,,,,,,,,,,,,
WESTERN  WASHINGTON,,,,,,,,,,,,
CLALLAM,0,"101,908","65,197","10,766","177,871","82,689",0,"42,475",0,"125,164","303,035",
CLARK,0,"44,689","5,208","31,844","81,741","6,872",0,0,0,"6,872","88,613",
COWLITZ,0,"267,528","60,824","45,563","373,915","20,296",0,306,0,"20,602","394,517",
GRAYS HARBOR,"13,128","295,183","87,222","31,732","427,265","13,695","21,456","12,819",0,"47,970","475,235",
ISLAND,0,0,982,"5,201","6,183",269,62,0,0,331,"6,514",
JEFFERSON,0,"19,490","47,888","9,502","76,880","99,095",134,"17,169","1,200","117,598","194,478",
KING,468,"186,839","30,154","12,653","230,114","5,919","9,065","24,039",0,"39,023","269,137",
KITSAP,768,"2,225","14,355","13,664","31,012","5,167","1,188",0,480,"6,835","37,847",
LEWIS,0,"199,831","77,046","61,063","337,940","32,282",0,"96,492",175,"128,949","466,889",
MASON,602,"157,704","20,878","22,984","202,168","7,536",0,"2,053",0,"9,589","211,757",
PACIFIC,0,"138,340","73,228","15,690","227,258","11,617",0,0,0,"11,617","238,875",
PIERCE,0,"94,043","33,684","20,404","148,131","10,927",118,"21,276","7,278","39,599","187,730",
SAN JUAN,0,0,653,"11,892","12,545",634,0,0,0,634,"13,179",
SKAGIT,"1,228","26,572","159,446","27,929","215,175","38,434",219,"5,530",0,"44,183","259,358",
SKAMANIA,0,"3,746","15,220","8,040","27,006","30,625",0,"141,219",0,"171,844","198,850",
SNOHOMISH,"1,400","54,118","110,884","32,075","198,477","38,975",82,"45,614",0,"84,671","283,148",
THURSTON,0,"73,167","9,361","31,759","114,287","18,415",286,0,491,"19,192","133,479",
WAHKIAKUM,0,"49,891","32,208","5,419","87,518","11,587",0,0,0,"11,587","99,105",
WHATCOM,57,"15,168","74,480","19,167","108,872","32,438",0,"10,454",0,"42,892","151,764",
,,,,,,,,,,,,
WESTSIDE TOTALS,"17,651","1,730,442","918,918","417,347","3,084,358","467,472","32,610","419,446","9,624","929,152","4,013,510",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
STATEWIDE TOTALS,"171,953","2,117,346","987,696","544,796","3,821,791","535,147","32,785","703,750","10,447","1,282,129","5,103,920",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
