,,DEPARTMENT OF NATURAL RESOURCES,,,,,,,,,,
,,Timber Harvest Summary —   All Ownerships,,,,,,,,,,
,,1980,,,,,,,,,,
,,,,,,,,,,,,
,,"( Thousand board feet, Scribner rule )",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
REGIONS,,,,,OWNER,CLASSES,,,,,TOTAL,
AND,Native,Forest,Private,Private,Total,,Other,National,Other,Total,ALL,
COUNTIES,American,Industry,Large,Small,Private,State,Non-federal,Forest,Federal,Public,OWNERSHIPS,
,,,,,,,,,,,,
EASTERN  WASHINGTON,,,,,,,,,,,,
ASOTIN,0,0,259,"1,733","1,992",226,0,"7,692",0,"7,918","9,910",
BENTON,0,0,0,0,0,0,0,0,0,0,0,
CHELAN,0,"31,774","56,001","2,698","90,473",199,3,"34,147",0,"34,349","124,822",
COLUMBIA,0,"2,767","1,838",951,"5,556",0,0,"2,330",0,"2,330","7,886",
DOUGLAS,0,0,9,689,698,0,0,0,0,0,698,
FERRY,"67,419","18,295","1,879","8,054","95,647",0,14,"24,008",0,"24,022","119,669",
GARFIELD,0,0,270,"2,171","2,441",0,0,"9,278",0,"9,278","11,719",
KITTITAS,0,"63,789","1,494","1,701","66,984","6,833","10,791","54,210",0,"71,834","138,818",
KLICKITAT,"7,328","41,236","5,696","4,254","58,514","10,039",0,40,0,"10,079","68,593",
LINCOLN,0,179,0,"3,237","3,416",373,0,0,0,373,"3,789",
OKANOGAN,"26,990","4,026","5,998","12,243","49,257","12,270",0,"78,979",0,"91,249","140,506",
PEND ORIELLE,0,"18,613","3,160","11,640","33,413",442,0,"27,375",0,"27,817","61,230",
SPOKANE,0,557,"1,343","14,446","16,346","1,195",495,0,0,"1,690","18,036",
STEVENS,"10,732","44,758","6,202","29,508","91,200","8,198",0,"19,142","1,595","28,935","120,135",
WALLA WALLA,0,0,143,651,794,0,0,0,0,0,794,
WHITMAN,0,0,0,975,975,0,0,0,0,0,975,
YAKIMA,"165,358","2,257","1,016",289,"168,920","2,812",0,"59,663",0,"62,475","231,395",
,,,,,,,,,,,,
,,,,,,,,,,,,
EASTSIDE TOTALS,"277,827","228,251","85,308","95,240","686,626","42,587","11,303","316,864","1,595","372,349","1,058,975",
,,,,,,,,,,,,
,,,,,,,,,,,,
WESTERN  WASHINGTON,,,,,,,,,,,,
CLALLAM,"7,403","180,144","20,125","13,688","221,360","74,917",0,"83,687",0,"158,604","379,964",
CLARK,0,"5,742",42,"8,411","14,195","1,050",0,0,0,"1,050","15,245",
COWLITZ,0,"594,230","1,549","19,211","614,990","25,577",243,32,0,"25,852","640,842",
GRAYS HARBOR,"48,818","242,389","6,171","20,091","317,469","2,563","6,833","82,868",0,"92,264","409,733",
ISLAND,0,874,"3,036","6,369","10,279",719,368,0,0,"1,087","11,366",
JEFFERSON,0,"110,744","7,281","7,103","125,128","360,291",0,"31,152","1,579","393,022","518,150",
KING,59,"192,405","2,805","12,671","207,940","13,972","7,456","48,198",0,"69,626","277,566",
KITSAP,137,"17,978","6,292","13,579","37,986","4,650",212,0,50,"4,912","42,898",
LEWIS,0,"455,489","70,407","20,128","546,024","18,702",0,"102,319",0,"121,021","667,045",
MASON,0,"21,049","13,556","12,587","47,192","53,215",100,"78,967",0,"132,282","179,474",
PACIFIC,0,"327,971","1,298","11,732","341,001","15,170",639,0,0,"15,809","356,810",
PIERCE,24,"164,632","1,073","11,777","177,506","11,334",366,"32,542","8,554","52,796","230,302",
SAN JUAN,0,92,307,"5,569","5,968",0,0,0,0,0,"5,968",
SKAGIT,899,"96,469","6,761","8,908","113,037","37,659",305,"80,385",0,"118,349","231,386",
SKAMANIA,0,"65,642","1,600","5,118","72,360","6,317",0,"175,832",0,"182,149","254,509",
SNOHOMISH,328,"61,123","4,440","19,807","85,698","32,966",117,"41,635",0,"74,718","160,416",
THURSTON,0,"57,931","5,987","23,131","87,049","4,316",0,0,"2,893","7,209","94,258",
WAHKIAKUM,0,"86,900",132,"3,046","90,078","14,231",155,0,0,"14,386","104,464",
WHATCOM,733,"25,538","6,284","9,220","41,775","24,511",16,"14,279",0,"38,806","80,581",
,,,,,,,,,,,,
WESTSIDE TOTALS,"58,401","2,707,342","159,146","232,146","3,157,035","702,160","16,810","771,896","13,076","1,503,942","4,660,977",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
STATEWIDE TOTALS,"336,228","2,935,593","244,454","327,386","3,843,661","744,747","28,113","1,088,760","14,671","1,876,291","5,719,952",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
