,,DEPARTMENT OF NATURAL RESOURCES,,,,,,,,,,
,,Timber Harvest Summary —   All Ownerships,,,,,,,,,,
,,1997,,,,,,,,,,
,,,,,,,,,,,,
,,"( Thousand board feet, Scribner rule )",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
REGIONS,,,,,OWNER,CLASSES,,,,,TOTAL,
AND,Native,Forest,Private,Private,Total,,Other,National,Other,Total,ALL,
COUNTIES,American,Industry,Large,Small,Private,State,Non-federal,Forest,Federal,Public,OWNERSHIPS,
,,,,,,,,,,,,
EASTERN  WASHINGTON,,,,,,,,,,,,
ASOTIN,0,0,0,"1,568","1,568",0,0,"1,004",0,"1,004","2,572",
BENTON,0,0,0,0,0,0,0,0,0,0,0,
CHELAN,0,"1,410","3,715","9,948","15,073","1,878",12,"41,611",0,"43,501","58,574",
COLUMBIA,0,"2,504","1,849","4,379","8,732",0,0,"1,828",0,"1,828","10,560",
DOUGLAS,0,0,0,147,147,0,0,0,0,0,147,
FERRY,"37,424","6,960","1,966","10,538","56,888",283,0,"10,755",0,"11,038","67,926",
GARFIELD,0,0,0,"2,868","2,868",0,0,"4,261",0,"4,261","7,129",
KITTITAS,0,"64,821","5,373","16,421","86,615","4,365",0,"2,367",0,"6,732","93,347",
KLICKITAT,0,"45,123","6,947","18,628","70,698","5,203",0,0,0,"5,203","75,901",
LINCOLN,0,0,0,"4,785","4,785",0,0,0,0,0,"4,785",
OKANOGAN,"36,831","4,730","9,838","14,878","66,277","36,630",0,"11,833","2,101","50,564","116,841",
PEND ORIELLE,0,"33,714","9,761","41,007","84,482","9,420",10,"8,011",0,"17,441","101,923",
SPOKANE,0,"18,504","13,940","60,139","92,583","9,317",130,0,0,"9,447","102,030",
STEVENS,"15,583","37,033","16,243","59,484","128,343","17,744",0,"16,514","2,637","36,895","165,238",
WALLA WALLA,0,"3,326",0,"5,721","9,047",0,0,0,0,0,"9,047",
WHITMAN,0,0,0,265,265,0,0,0,0,0,265,
YAKIMA,"134,340","18,624",770,"3,940","157,674","7,752",0,"7,097",0,"14,849","172,523",
,,,,,,,,,,,,
,,,,,,,,,,,,
EASTSIDE TOTALS,"224,178","236,749","70,402","254,716","786,045","92,592",152,"105,281","4,738","202,763","988,808",
,,,,,,,,,,,,
,,,,,,,,,,,,
WESTERN  WASHINGTON,,,,,,,,,,,,
CLALLAM,"9,617","115,279","72,107","23,318","220,321","41,421",30,"7,785",0,"49,236","269,557",
CLARK,0,"34,151","3,494","20,066","57,711","21,917",0,0,0,"21,917","79,628",
COWLITZ,0,"182,166","11,994","34,542","228,702","41,332",0,"2,506",0,"43,838","272,540",
GRAYS HARBOR,"16,277","345,439","82,958","72,585","517,259","61,543","22,531","3,367",0,"87,441","604,700",
ISLAND,0,0,"1,130","4,861","5,991","1,087",99,0,0,"1,186","7,177",
JEFFERSON,0,"30,652","13,187","12,516","56,355","10,054",0,0,245,"10,299","66,654",
KING,0,"109,631","14,617","22,045","146,293","16,461",224,"1,671",0,"18,356","164,649",
KITSAP,11,"1,580","9,024","16,718","27,333","8,808","4,622",0,90,"13,520","40,853",
LEWIS,0,"262,543","33,897","40,465","336,905","65,787",0,"5,288",0,"71,075","407,980",
MASON,0,"99,409","26,347","42,960","168,716","14,227",782,997,0,"16,006","184,722",
PACIFIC,0,"210,286","36,267","17,802","264,355","45,003",0,0,0,"45,003","309,358",
PIERCE,26,"103,371","26,246","43,233","172,876","9,451","1,866",703,"5,603","17,623","190,499",
SAN JUAN,0,0,121,"4,200","4,321",0,0,0,0,0,"4,321",
SKAGIT,85,"48,764","29,538","29,878","108,265","38,140",29,11,0,"38,180","146,445",
SKAMANIA,0,"4,340","2,569","4,693","11,602","12,017",729,"30,616",0,"43,362","54,964",
SNOHOMISH,"1,720","37,605","21,789","38,044","99,158","54,689",132,"7,944",0,"62,765","161,923",
THURSTON,410,"33,169","12,624","20,672","66,875","57,099",63,0,"2,404","59,566","126,441",
WAHKIAKUM,0,"42,160","9,702","7,648","59,510","24,370",0,0,0,"24,370","83,880",
WHATCOM,0,"19,940","9,598","22,632","52,170","29,218",0,0,0,"29,218","81,388",
,,,,,,,,,,,,
WESTSIDE TOTALS,"28,146","1,680,485","417,209","478,878","2,604,718","552,624","31,107","60,888","8,342","652,961","3,257,679",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
STATEWIDE TOTALS,"252,324","1,917,234","487,611","733,594","3,390,763","645,216","31,259","166,169","13,080","855,724","4,246,487",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
