,,DEPARTMENT OF NATURAL RESOURCES,,,,,,,,,,
,,Timber Harvest Summary —   All Ownerships,,,,,,,,,,
,,1973,,,,,,,,,,
,,,,,,,,,,,,
,,"( Thousand board feet, Scribner rule )",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
REGIONS,,,,,OWNER,CLASSES,,,,,TOTAL,
AND,Native,Forest,Private,Private,Total,,Other,National,Other,Total,ALL,
COUNTIES,American,Industry,Large,Small,Private,State,Non-federal,Forest,Federal,Public,OWNERSHIPS,
,,,,,,,,,,,,
EASTERN  WASHINGTON,,,,,,,,,,,,
ASOTIN,0,700,0,"3,803","4,503",0,0,"2,037",0,"2,037","6,540",
BENTON,0,0,0,0,0,0,0,0,0,0,0,
CHELAN,0,"14,877",0,"1,017","15,894","2,212",0,"101,628",0,"103,840","119,734",
COLUMBIA,0,"1,935",480,"1,109","3,524",0,0,"6,336",0,"6,336","9,860",
DOUGLAS,0,0,0,0,0,0,0,0,0,0,0,
FERRY,"95,199","6,377","1,418","5,195","108,189","8,427",0,"37,093",0,"45,520","153,709",
GARFIELD,0,82,0,469,551,0,0,"6,361",0,"6,361","6,912",
KITTITAS,0,"76,512","29,282","15,134","120,928","10,371","1,260","56,282",0,"67,913","188,841",
KLICKITAT,"12,192","25,604",502,"13,050","51,348","29,948",0,"1,796",0,"31,744","83,092",
LINCOLN,0,0,"2,287","6,690","8,977",113,0,0,0,113,"9,090",
OKANOGAN,"22,255","4,989","8,016","10,517","45,777","26,744",0,"101,315",258,"128,317","174,094",
PEND ORIELLE,0,"5,683","2,407","35,001","43,091","6,011",40,"41,120",873,"48,044","91,135",
SPOKANE,0,"3,818","3,833","28,195","35,846",234,15,0,0,249,"36,095",
STEVENS,"23,175","7,760","4,532","48,850","84,317","17,854",25,"9,633","1,248","28,760","113,077",
WALLA WALLA,0,"4,103",983,390,"5,476",0,0,0,0,0,"5,476",
WHITMAN,0,0,0,0,0,0,0,0,0,0,0,
YAKIMA,"128,400","1,168","8,077",332,"137,977","7,667",0,"75,569",0,"83,236","221,213",
,,,,,,,,,,,,
,,,,,,,,,,,,
EASTSIDE TOTALS,"281,221","153,608","61,817","169,752","666,398","109,581","1,340","439,170","2,379","552,470","1,218,868",
,,,,,,,,,,,,
,,,,,,,,,,,,
WESTERN  WASHINGTON,,,,,,,,,,,,
CLALLAM,"22,233","141,038","30,284","26,798","220,353","102,725",0,"78,391",0,"181,116","401,469",
CLARK,0,"13,734",0,"25,574","39,308","8,902",210,0,27,"9,139","48,447",
COWLITZ,0,"648,201","8,837","26,272","683,310","144,352",0,"19,952",0,"164,304","847,614",
GRAYS HARBOR,"139,286","291,109","54,273","69,069","553,737","5,401","13,647","80,215",0,"99,263","653,000",
ISLAND,0,"2,019",340,"23,830","26,189",0,0,0,500,500,"26,689",
JEFFERSON,"1,969","154,681","35,878","37,191","229,719","374,614",101,"38,421","1,175","414,311","644,030",
KING,99,"203,111","81,226","58,031","342,467","16,650",180,"103,076",0,"119,906","462,373",
KITSAP,186,"5,682","4,887","28,374","39,129","2,363",0,0,514,"2,877","42,006",
LEWIS,0,"488,450","30,288","87,484","606,222","56,312",143,"114,914",15,"171,384","777,606",
MASON,129,"44,911","15,603","42,625","103,268","3,736",0,"99,811",0,"103,547","206,815",
PACIFIC,0,"475,860","9,986","31,186","517,032","20,787","1,573",0,0,"22,360","539,392",
PIERCE,0,"209,576","2,160","68,545","280,281","26,679",165,"54,898",0,"81,742","362,023",
SAN JUAN,0,349,881,"4,250","5,480",0,0,0,0,0,"5,480",
SKAGIT,0,"149,754","17,963","24,655","192,372","34,072",208,"89,101",0,"123,381","315,753",
SKAMANIA,0,"39,287","54,529","7,655","101,471","19,873",0,"362,025","1,197","383,095","484,566",
SNOHOMISH,0,"96,117","12,810","88,230","197,157","40,053",400,"97,071",0,"137,524","334,681",
THURSTON,0,"100,688","10,972","82,957","194,617","4,837",0,0,600,"5,437","200,054",
WAHKIAKUM,0,"98,665",648,"12,355","111,668","15,072",602,0,0,"15,674","127,342",
WHATCOM,0,"44,039","1,916","17,121","63,076","12,026",0,"36,086",0,"48,112","111,188",
,,,,,,,,,,,,
WESTSIDE TOTALS,"163,902","3,207,271","373,481","762,202","4,506,856","888,454","17,229","1,173,961","4,028","2,083,672","6,590,528",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
STATEWIDE TOTALS,"445,123","3,360,879","435,298","931,954","5,173,254","998,035","18,569","1,613,131","6,407","2,636,142","7,809,396",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
