,,DEPARTMENT OF NATURAL RESOURCES,,,,,,,,,,
,,Timber Harvest Summary —   All Ownerships,,,,,,,,,,
,,1984,,,,,,,,,,
,,,,,,,,,,,,
,,"( Thousand board feet, Scribner rule )",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
REGIONS,,,,,OWNER,CLASSES,,,,,TOTAL,
AND,Native,Forest,Private,Private,Total,,Other,National,Other,Total,ALL,
COUNTIES,American,Industry,Large,Small,Private,State,Non-federal,Forest,Federal,Public,OWNERSHIPS,
,,,,,,,,,,,,
EASTERN  WASHINGTON,,,,,,,,,,,,
ASOTIN,0,0,204,"1,167","1,371",0,0,"6,862",0,"6,862","8,233",
BENTON,0,0,0,0,0,0,0,0,0,0,0,
CHELAN,0,"18,669",341,"1,873","20,883","2,381",0,"52,207",0,"54,588","75,471",
COLUMBIA,0,0,"4,443","5,257","9,700",136,0,"9,854","1,119","11,109","20,809",
DOUGLAS,0,0,0,0,0,0,0,0,0,0,0,
FERRY,"23,619","24,544","2,111","13,420","63,694","2,054",0,"41,944",164,"44,162","107,856",
GARFIELD,0,0,0,943,943,0,0,0,0,0,943,
KITTITAS,0,"102,143",0,"1,009","103,152","15,583",0,"55,032",0,"70,615","173,767",
KLICKITAT,955,"47,551","10,950","6,039","65,495","26,438",0,647,0,"27,085","92,580",
LINCOLN,0,0,0,"2,071","2,071",932,0,0,0,932,"3,003",
OKANOGAN,"20,948","17,939","9,525","7,628","56,040","21,175",0,"49,193",79,"70,447","126,487",
PEND ORIELLE,0,"36,478","3,119","9,618","49,215","7,792",0,"37,579",0,"45,371","94,586",
SPOKANE,0,746,"6,411","19,369","26,526",114,0,0,0,114,"26,640",
STEVENS,0,"45,497","3,084","37,421","86,002","19,656",0,"12,442",239,"32,337","118,339",
WALLA WALLA,0,0,162,83,245,0,0,0,0,0,245,
WHITMAN,0,0,0,"1,164","1,164",0,0,0,0,0,"1,164",
YAKIMA,"77,413","31,923",0,"1,316","110,652","25,148",0,"61,836",0,"86,984","197,636",
,,,,,,,,,,,,
,,,,,,,,,,,,
EASTSIDE TOTALS,"122,935","325,490","40,350","108,378","597,153","121,409",0,"327,596","1,601","450,606","1,047,759",
,,,,,,,,,,,,
,,,,,,,,,,,,
WESTERN  WASHINGTON,,,,,,,,,,,,
CLALLAM,"6,346","156,918","47,406","28,256","238,926","84,870",0,"79,496",0,"164,366","403,292",
CLARK,0,"22,859","9,255","10,740","42,854",884,0,0,264,"1,148","44,002",
COWLITZ,0,"459,247","4,063","55,166","518,476","63,353",0,"10,749",0,"74,102","592,578",
GRAYS HARBOR,"65,955","552,837","40,375","15,161","674,328","30,748","9,678","77,378",0,"117,804","792,132",
ISLAND,0,0,"1,976","8,070","10,046","5,244",0,0,0,"5,244","15,290",
JEFFERSON,0,"68,636","3,054","4,918","76,608","248,629",0,"49,156",0,"297,785","374,393",
KING,680,"211,689","8,991","6,380","227,740","8,442","4,687","32,508",0,"45,637","273,377",
KITSAP,"1,852","18,959","3,187","10,496","34,494","5,089","2,212",0,0,"7,301","41,795",
LEWIS,0,"321,198","80,017","46,488","447,703","46,407",0,"118,758",0,"165,165","612,868",
MASON,"1,018","49,580","8,529","18,958","78,085","16,254",0,"64,439",0,"80,693","158,778",
PACIFIC,0,"101,992","2,694","10,172","114,858","14,975",0,0,0,"14,975","129,833",
PIERCE,0,"162,940","2,790","17,687","183,417","5,155",0,"36,857","46,805","88,817","272,234",
SAN JUAN,0,0,174,"1,545","1,719",0,0,0,0,0,"1,719",
SKAGIT,459,"77,295","20,851","12,735","111,340","57,298",0,"40,660",0,"97,958","209,298",
SKAMANIA,0,"82,879","19,100","3,187","105,166","20,491",0,"228,388",0,"248,879","354,045",
SNOHOMISH,"4,591","31,107","16,098","25,008","76,804","33,376",0,"75,339",0,"108,715","185,519",
THURSTON,0,"37,940","2,132","14,815","54,887","22,101",0,0,"2,774","24,875","79,762",
WAHKIAKUM,0,"89,829",169,"6,543","96,541",732,0,0,0,732,"97,273",
WHATCOM,"1,451","32,308","15,402","10,386","59,547","9,287",0,"47,191",0,"56,478","116,025",
,,,,,,,,,,,,
WESTSIDE TOTALS,"82,352","2,478,213","286,263","306,711","3,153,539","673,335","16,577","860,919","49,843","1,600,674","4,754,213",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
STATEWIDE TOTALS,"205,287","2,803,703","326,613","415,089","3,750,692","794,744","16,577","1,188,515","51,444","2,051,280","5,801,972",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
