,,DEPARTMENT OF NATURAL RESOURCES,,,,,,,,,,
,,Timber Harvest Summary —   All Ownerships,,,,,,,,,,
,,1993,,,,,,,,,,
,,,,,,,,,,,,
,,"( Thousand board feet, Scribner rule )",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
REGIONS,,,,,OWNER,CLASSES,,,,,TOTAL,
AND,Native,Forest,Private,Private,Total,,Other,National,Other,Total,ALL,
COUNTIES,American,Industry,Large,Small,Private,State,Non-federal,Forest,Federal,Public,OWNERSHIPS,
,,,,,,,,,,,,
EASTERN  WASHINGTON,,,,,,,,,,,,
ASOTIN,0,"1,612","1,883","2,151","5,646",0,0,"2,932",0,"2,932","8,578",
BENTON,0,0,0,0,0,0,0,0,0,0,0,
CHELAN,0,"7,198","2,412","8,920","18,530",597,0,"13,567",0,"14,164","32,694",
COLUMBIA,0,"7,297","2,381","5,237","14,915",0,0,"11,684",0,"11,684","26,599",
DOUGLAS,0,0,0,"1,320","1,320",0,0,0,0,0,"1,320",
FERRY,"28,449","9,642",803,"16,258","55,152",46,0,"13,811",0,"13,857","69,009",
GARFIELD,0,0,0,"1,355","1,355",0,0,"5,788",0,"5,788","7,143",
KITTITAS,0,"43,838","7,169","23,307","74,314","5,232",17,"11,956",0,"17,205","91,519",
KLICKITAT,"4,852","46,432","10,014","39,679","100,977","4,003",69,0,0,"4,072","105,049",
LINCOLN,0,0,0,"7,917","7,917",0,0,0,0,0,"7,917",
OKANOGAN,"26,170","17,569","8,364","13,914","66,017","13,343",0,"27,500",0,"40,843","106,860",
PEND ORIELLE,0,"50,880","8,413","45,756","105,049","1,940",0,"31,121","4,613","37,674","142,723",
SPOKANE,0,"9,555","2,888","41,797","54,240","14,222",235,0,0,"14,457","68,697",
STEVENS,"7,518","61,957","10,413","96,980","176,868","12,325",0,"22,036",0,"34,361","211,229",
WALLA WALLA,0,0,0,"5,189","5,189",0,0,0,0,0,"5,189",
WHITMAN,0,0,0,"1,427","1,427",0,0,0,0,0,"1,427",
YAKIMA,"89,216","7,403","5,482","2,637","104,738","11,370",0,"20,580",0,"31,950","136,688",
,,,,,,,,,,,,
,,,,,,,,,,,,
EASTSIDE TOTALS,"156,205","263,383","60,222","313,844","793,654","63,078",321,"160,975","4,613","228,987","1,022,641",
,,,,,,,,,,,,
,,,,,,,,,,,,
WESTERN  WASHINGTON,,,,,,,,,,,,
CLALLAM,"8,640","82,916","45,094","32,101","168,751","25,624",0,"11,234",0,"36,858","205,609",
CLARK,0,"56,420","6,427","30,531","93,378","3,018",0,0,165,"3,183","96,561",
COWLITZ,0,"220,150","26,864","42,156","289,170","32,165",0,0,0,"32,165","321,335",
GRAYS HARBOR,"24,070","256,538","78,232","50,840","409,680","33,263","8,197","2,467",0,"43,927","453,607",
ISLAND,0,"3,878","2,634","10,257","16,769",0,0,0,0,0,"16,769",
JEFFERSON,0,"30,419","19,442","16,493","66,354","30,644",105,"1,247",0,"31,996","98,350",
KING,0,"128,081","17,488","19,296","164,865","34,956","4,667","5,367",0,"44,990","209,855",
KITSAP,250,"14,894","11,587","16,573","43,304","6,894",936,0,790,"8,620","51,924",
LEWIS,0,"247,101","55,353","65,822","368,276","37,150",0,"42,043",0,"79,193","447,469",
MASON,0,"81,475","60,739","42,235","184,449","22,452",0,"2,421",0,"24,873","209,322",
PACIFIC,0,"138,311","36,673","28,593","203,577","21,087",0,0,"4,115","25,202","228,779",
PIERCE,0,"98,085","44,723","36,690","179,498","9,485","1,840","2,294","3,600","17,219","196,717",
SAN JUAN,0,0,0,"11,401","11,401",0,0,0,0,0,"11,401",
SKAGIT,240,"66,983","45,728","32,905","145,856","46,854",0,"4,662",0,"51,516","197,372",
SKAMANIA,0,"6,566","4,864","8,203","19,633","5,528",0,"85,717",0,"91,245","110,878",
SNOHOMISH,"2,395","68,903","29,350","33,211","133,859","43,394",36,"3,505",0,"46,935","180,794",
THURSTON,580,"37,816","14,482","29,822","82,700","15,681",543,0,"2,468","18,692","101,392",
WAHKIAKUM,0,"34,977","24,483","15,612","75,072","2,115",460,0,0,"2,575","77,647",
WHATCOM,0,"24,352","19,579","19,466","63,397","28,091",0,69,0,"28,160","91,557",
,,,,,,,,,,,,
WESTSIDE TOTALS,"36,175","1,597,865","543,742","542,207","2,719,989","398,401","16,784","161,026","11,138","587,349","3,307,338",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
STATEWIDE TOTALS,"192,380","1,861,248","603,964","856,051","3,513,643","461,479","17,105","322,001","15,751","816,336","4,329,979",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
