,,DEPARTMENT OF NATURAL RESOURCES,,,,,,,,,,
,,Timber Harvest Summary —   All Ownerships,,,,,,,,,,
,,1978,,,,,,,,,,
,,,,,,,,,,,,
,,"( Thousand board feet, Scribner rule )",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
REGIONS,,,,,OWNER,CLASSES,,,,,TOTAL,
AND,Native,Forest,Private,Private,Total,,Other,National,Other,Total,ALL,
COUNTIES,American,Industry,Large,Small,Private,State,Non-federal,Forest,Federal,Public,OWNERSHIPS,
,,,,,,,,,,,,
EASTERN  WASHINGTON,,,,,,,,,,,,
ASOTIN,0,0,"3,027","1,700","4,727",0,29,"6,655",0,"6,684","11,411",
BENTON,0,0,0,0,0,0,0,0,0,0,0,
CHELAN,0,"40,936","13,654","5,008","59,598",115,0,"43,325",0,"43,440","103,038",
COLUMBIA,0,0,"3,448","2,962","6,410","1,501",0,"4,299",0,"5,800","12,210",
DOUGLAS,0,0,0,774,774,0,0,0,0,0,774,
FERRY,"79,803","11,652",0,"11,947","103,402","1,316",0,"43,770",0,"45,086","148,488",
GARFIELD,0,210,"1,763","1,690","3,663",0,0,"10,709",0,"10,709","14,372",
KITTITAS,0,"58,030","1,324","7,892","67,246","2,702","14,585","74,881",0,"92,168","159,414",
KLICKITAT,"9,662","45,634","10,433","4,574","70,303","16,612",385,"6,407",0,"23,404","93,707",
LINCOLN,0,552,0,"4,217","4,769",804,0,0,0,804,"5,573",
OKANOGAN,"56,358","5,095","7,762","23,463","92,678","12,369",0,"52,534",0,"64,903","157,581",
PEND ORIELLE,3,"20,643","5,511","13,754","39,911",852,"1,385","31,265",1,"33,503","73,414",
SPOKANE,0,"6,546","3,202","25,944","35,692","1,250",79,0,0,"1,329","37,021",
STEVENS,"15,713","44,093","2,953","53,561","116,320","22,174",0,"17,804","4,668","44,646","160,966",
WALLA WALLA,0,23,419,360,802,0,0,0,0,0,802,
WHITMAN,0,0,612,"3,094","3,706",0,0,0,0,0,"3,706",
YAKIMA,"149,753","10,842",254,303,"161,152","28,166",0,"47,794",0,"75,960","237,112",
,,,,,,,,,,,,
,,,,,,,,,,,,
EASTSIDE TOTALS,"311,292","244,256","54,362","161,243","771,153","87,861","16,463","339,443","4,669","448,436","1,219,589",
,,,,,,,,,,,,
,,,,,,,,,,,,
WESTERN  WASHINGTON,,,,,,,,,,,,
CLALLAM,"8,116","210,188","38,594","11,315","268,213","100,345",0,"78,864",0,"179,209","447,422",
CLARK,0,"9,462","3,877","14,703","28,042","11,834",32,0,0,"11,866","39,908",
COWLITZ,0,"694,792","2,069","20,361","717,222","50,976",72,"6,467",0,"57,515","774,737",
GRAYS HARBOR,"132,938","266,289","10,044","22,217","431,488","6,299","5,379","85,097",0,"96,775","528,263",
ISLAND,0,229,"3,501","8,414","12,144",0,0,0,0,0,"12,144",
JEFFERSON,"5,467","153,494","3,565","9,848","172,374","339,109",381,"34,863",55,"374,408","546,782",
KING,0,"243,590","9,775","16,321","269,686","42,105","21,488","34,253",17,"97,863","367,549",
KITSAP,"1,472","17,409","4,710","14,472","38,063","8,802",788,0,708,"10,298","48,361",
LEWIS,0,"573,775","41,113","46,740","661,628","56,039",330,"100,826",0,"157,195","818,823",
MASON,0,"43,256","13,805","20,511","77,572","6,786",12,"104,459",0,"111,257","188,829",
PACIFIC,0,"380,974","3,169","10,220","394,363","16,351",0,0,0,"16,351","410,714",
PIERCE,0,"125,986","3,613","17,395","146,994","16,493","2,392","40,366","10,539","69,790","216,784",
SAN JUAN,0,223,514,"9,557","10,294",220,240,0,0,460,"10,754",
SKAGIT,0,"89,561","4,676","17,573","111,810","51,275",0,"63,577",0,"114,852","226,662",
SKAMANIA,0,"103,250","1,242","4,399","108,891","26,196",440,"256,041",0,"282,677","391,568",
SNOHOMISH,0,"46,452","3,957","29,346","79,755","65,534","1,354","96,845",0,"163,733","243,488",
THURSTON,0,"60,042","8,014","26,303","94,359","6,158",240,0,"4,210","10,608","104,967",
WAHKIAKUM,0,"53,510",987,"2,473","56,970","23,263",21,0,0,"23,284","80,254",
WHATCOM,880,"28,959","4,465","10,979","45,283","39,375",811,"19,612",0,"59,798","105,081",
,,,,,,,,,,,,
WESTSIDE TOTALS,"148,873","3,101,441","161,690","313,147","3,725,151","867,160","33,980","921,270","15,529","1,837,939","5,563,090",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
STATEWIDE TOTALS,"460,165","3,345,697","216,052","474,390","4,496,304","955,021","50,443","1,260,713","20,198","2,286,375","6,782,679",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
