,,DEPARTMENT OF NATURAL RESOURCES,,,,,,,,,,
,,Timber Harvest Summary —   All Ownerships,,,,,,,,,,
,,1992,,,,,,,,,,
,,,,,,,,,,,,
,,"( Thousand board feet, Scribner rule )",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
REGIONS,,,,,OWNER,CLASSES,,,,,TOTAL,
AND,Native,Forest,Private,Private,Total,,Other,National,Other,Total,ALL,
COUNTIES,American,Industry,Large,Small,Private,State,Non-federal,Forest,Federal,Public,OWNERSHIPS,
,,,,,,,,,,,,
EASTERN  WASHINGTON,,,,,,,,,,,,
ASOTIN,0,"12,143","3,602","7,465","23,210",0,0,"1,872",0,"1,872","25,082",
BENTON,0,0,0,0,0,0,0,0,0,0,0,
CHELAN,0,"3,979","1,549","5,099","10,627","3,782",0,"28,782",0,"32,564","43,191",
COLUMBIA,0,"1,420","1,583","5,737","8,740",445,0,"3,780",0,"4,225","12,965",
DOUGLAS,0,0,0,45,45,0,0,0,0,0,45,
FERRY,"29,209","12,609","1,726","16,235","59,779",16,0,"16,521",0,"16,537","76,316",
GARFIELD,0,0,0,370,370,0,0,"4,575",0,"4,575","4,945",
KITTITAS,0,"86,280","2,185","8,039","96,504","3,106",0,"20,694",0,"23,800","120,304",
KLICKITAT,"6,624","63,918","7,054","19,783","97,379","10,526",0,"3,727",0,"14,253","111,632",
LINCOLN,0,0,29,"4,264","4,293",930,0,0,0,930,"5,223",
OKANOGAN,"26,717","12,502",475,"10,693","50,387","13,891",0,"32,072",0,"45,963","96,350",
PEND ORIELLE,0,"57,012","9,281","23,025","89,318","1,701","3,431","38,966",218,"44,316","133,634",
SPOKANE,0,"2,576","8,321","41,995","52,892","1,854",120,0,0,"1,974","54,866",
STEVENS,0,"74,445","31,016","77,298","182,759","13,705",416,"20,111",0,"34,232","216,991",
WALLA WALLA,0,0,321,"2,496","2,817",0,0,0,0,0,"2,817",
WHITMAN,0,0,0,"1,741","1,741",0,0,0,0,0,"1,741",
YAKIMA,"86,410","15,578","13,407","3,338","118,733","4,034",0,"34,106",0,"38,140","156,873",
,,,,,,,,,,,,
,,,,,,,,,,,,
EASTSIDE TOTALS,"148,960","342,462","80,549","227,623","799,594","53,990","3,967","205,206",218,"263,381","1,062,975",
,,,,,,,,,,,,
,,,,,,,,,,,,
WESTERN  WASHINGTON,,,,,,,,,,,,
CLALLAM,0,"83,371","67,415","31,756","182,542","48,553",15,"30,461",0,"79,029","261,571",
CLARK,0,"77,858","1,866","36,309","116,033","4,845",0,0,0,"4,845","120,878",
COWLITZ,0,"269,104","17,389","57,705","344,198","15,313",0,0,0,"15,313","359,511",
GRAYS HARBOR,"31,952","370,037","74,240","62,031","538,260","30,678","29,708","14,966",0,"75,352","613,612",
ISLAND,0,21,"2,561","9,898","12,480",120,0,0,0,120,"12,600",
JEFFERSON,0,"17,454","26,237","18,604","62,295","52,889",89,"6,465","1,987","61,430","123,725",
KING,425,"146,348","9,323","12,182","168,278","9,384","8,142","15,440",0,"32,966","201,244",
KITSAP,630,"4,124","14,154","19,594","38,502",195,456,0,405,"1,056","39,558",
LEWIS,"1,363","246,129","43,645","111,808","402,945","43,223",0,"51,153",0,"94,376","497,321",
MASON,602,"139,679","36,084","37,349","213,714","23,875",220,0,0,"24,095","237,809",
PACIFIC,0,"159,968","32,785","40,882","233,635","27,875",0,0,0,"27,875","261,510",
PIERCE,0,"140,422","19,114","36,505","196,041","13,164",0,"18,006","5,185","36,355","232,396",
SAN JUAN,0,0,238,"10,447","10,685",380,46,0,0,426,"11,111",
SKAGIT,655,"71,056","81,917","50,391","204,019","52,197",0,"3,882",0,"56,079","260,098",
SKAMANIA,0,"9,277","9,147","13,818","32,242","10,213",0,"81,665",0,"91,878","124,120",
SNOHOMISH,"1,205","60,308","56,238","54,259","172,010","37,508",64,"24,768",0,"62,340","234,350",
THURSTON,0,"68,711","12,043","39,939","120,693","22,621",313,0,386,"23,320","144,013",
WAHKIAKUM,0,"44,448","12,767","14,194","71,409","5,088",0,0,0,"5,088","76,497",
WHATCOM,55,"25,919","43,528","40,276","109,778","23,939",0,"9,060",0,"32,999","142,777",
,,,,,,,,,,,,
WESTSIDE TOTALS,"36,887","1,934,234","560,691","697,947","3,229,759","422,060","39,053","255,866","7,963","724,942","3,954,701",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
STATEWIDE TOTALS,"185,847","2,276,696","641,240","925,570","4,029,353","476,050","43,020","461,072","8,181","988,323","5,017,676",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
